"ocun_ensembl_gid","ocun_feature_length"
"ENSOCUG00000004771",2838
"ENSOCUG00000004773",1178
"ENSOCUG00000004774",1456
"ENSOCUG00000004775",1521
"ENSOCUG00000004776",1965
"ENSOCUG00000004777",1032
"ENSOCUG00000004778",2634
"ENSOCUG00000004779",1329
"ENSOCUG00000004780",1266
"ENSOCUG00000004781",957
"ENSOCUG00000004783",3090
"ENSOCUG00000004784",7010
"ENSOCUG00000004785",4195
"ENSOCUG00000004786",5580
"ENSOCUG00000004787",2378
"ENSOCUG00000004788",603
"ENSOCUG00000004789",834
"ENSOCUG00000004791",1173
"ENSOCUG00000004792",3846
"ENSOCUG00000004793",534
"ENSOCUG00000004795",258
"ENSOCUG00000004797",786
"ENSOCUG00000004798",1338
"ENSOCUG00000004799",291
"ENSOCUG00000004801",624
"ENSOCUG00000004802",900
"ENSOCUG00000004804",1590
"ENSOCUG00000004805",5695
"ENSOCUG00000004806",9888
"ENSOCUG00000004807",1536
"ENSOCUG00000004808",2541
"ENSOCUG00000004809",3588
"ENSOCUG00000004810",1275
"ENSOCUG00000004811",3848
"ENSOCUG00000004812",288
"ENSOCUG00000004814",957
"ENSOCUG00000004815",639
"ENSOCUG00000004816",1306
"ENSOCUG00000004817",7127
"ENSOCUG00000004820",5015
"ENSOCUG00000004821",778
"ENSOCUG00000004823",1107
"ENSOCUG00000004825",1347
"ENSOCUG00000004826",3822
"ENSOCUG00000004827",5222
"ENSOCUG00000004828",444
"ENSOCUG00000004829",6502
"ENSOCUG00000004831",4713
"ENSOCUG00000004832",4135
"ENSOCUG00000004833",1194
"ENSOCUG00000004834",1936
"ENSOCUG00000004836",1213
"ENSOCUG00000004837",1522
"ENSOCUG00000004839",5000
"ENSOCUG00000004840",1314
"ENSOCUG00000004841",1742
"ENSOCUG00000004842",1215
"ENSOCUG00000004843",543
"ENSOCUG00000004845",540
"ENSOCUG00000004846",1224
"ENSOCUG00000004847",2223
"ENSOCUG00000004848",4079
"ENSOCUG00000004849",4641
"ENSOCUG00000004851",951
"ENSOCUG00000004852",462
"ENSOCUG00000004853",855
"ENSOCUG00000004854",2454
"ENSOCUG00000004855",1827
"ENSOCUG00000004856",5637
"ENSOCUG00000004859",1475
"ENSOCUG00000004862",2779
"ENSOCUG00000004863",6954
"ENSOCUG00000004864",3143
"ENSOCUG00000004865",1080
"ENSOCUG00000004870",5979
"ENSOCUG00000004871",4861
"ENSOCUG00000004872",3306
"ENSOCUG00000004873",1818
"ENSOCUG00000004874",876
"ENSOCUG00000004875",315
"ENSOCUG00000004876",1400.5
"ENSOCUG00000004877",1368.5
"ENSOCUG00000004878",2662
"ENSOCUG00000004879",1044
"ENSOCUG00000004881",6964
"ENSOCUG00000004883",1913
"ENSOCUG00000004884",527
"ENSOCUG00000004886",1166
"ENSOCUG00000004887",735
"ENSOCUG00000004889",3741
"ENSOCUG00000004890",6614
"ENSOCUG00000004891",849
"ENSOCUG00000004892",1011
"ENSOCUG00000004893",1008
"ENSOCUG00000004894",675
"ENSOCUG00000004895",8032
"ENSOCUG00000004896",2172
"ENSOCUG00000004897",3437
"ENSOCUG00000004898",1963
"ENSOCUG00000004899",4718
"ENSOCUG00000004900",4562
"ENSOCUG00000004901",2667
"ENSOCUG00000004902",631
"ENSOCUG00000004903",1384.5
"ENSOCUG00000004904",2665
"ENSOCUG00000004905",4812
"ENSOCUG00000004906",4310
"ENSOCUG00000004907",1101
"ENSOCUG00000004911",555
"ENSOCUG00000004912",1074
"ENSOCUG00000004913",3868
"ENSOCUG00000004914",1197
"ENSOCUG00000004915",1407
"ENSOCUG00000004916",816
"ENSOCUG00000004917",1227.5
"ENSOCUG00000004918",2217
"ENSOCUG00000004920",1131
"ENSOCUG00000004921",4172
"ENSOCUG00000004922",2124
"ENSOCUG00000004923",3648.5
"ENSOCUG00000004924",2181
"ENSOCUG00000004925",4471
"ENSOCUG00000004926",813
"ENSOCUG00000004927",4104
"ENSOCUG00000004928",2222
"ENSOCUG00000004930",3544
"ENSOCUG00000004931",408
"ENSOCUG00000004932",5710
"ENSOCUG00000004933",4206
"ENSOCUG00000004935",3041
"ENSOCUG00000004936",9594
"ENSOCUG00000004937",1398
"ENSOCUG00000004938",4463
"ENSOCUG00000004939",3356
"ENSOCUG00000004940",1614
"ENSOCUG00000004941",4833
"ENSOCUG00000004942",1863
"ENSOCUG00000004943",4077
"ENSOCUG00000004945",554
"ENSOCUG00000004946",1398
"ENSOCUG00000004947",1726
"ENSOCUG00000004948",885
"ENSOCUG00000004950",7542
"ENSOCUG00000004951",3364
"ENSOCUG00000004952",1296
"ENSOCUG00000004954",2909
"ENSOCUG00000004955",1209
"ENSOCUG00000004957",3203
"ENSOCUG00000004958",1842
"ENSOCUG00000004959",2878
"ENSOCUG00000004961",2015.5
"ENSOCUG00000004962",6791
"ENSOCUG00000004964",5617
"ENSOCUG00000004967",1710
"ENSOCUG00000004968",1779
"ENSOCUG00000004969",1497
"ENSOCUG00000004970",1893
"ENSOCUG00000004972",723
"ENSOCUG00000004973",3708
"ENSOCUG00000004975",3642
"ENSOCUG00000004976",1686
"ENSOCUG00000004978",3193
"ENSOCUG00000004979",645
"ENSOCUG00000004981",11732.5
"ENSOCUG00000004982",3488
"ENSOCUG00000004983",2587
"ENSOCUG00000004985",1587
"ENSOCUG00000004986",4813
"ENSOCUG00000004987",3993
"ENSOCUG00000004988",2312
"ENSOCUG00000004989",2321
"ENSOCUG00000004990",2351
"ENSOCUG00000004992",1082
"ENSOCUG00000004993",450
"ENSOCUG00000004994",1665
"ENSOCUG00000004995",1740
"ENSOCUG00000004996",6484
"ENSOCUG00000004997",6180
"ENSOCUG00000004998",585
"ENSOCUG00000004999",8055
"ENSOCUG00000005000",1561
"ENSOCUG00000005001",1189
"ENSOCUG00000005002",2044
"ENSOCUG00000005003",5130
"ENSOCUG00000005004",1170
"ENSOCUG00000005005",2822
"ENSOCUG00000005006",1722
"ENSOCUG00000005007",420
"ENSOCUG00000005008",10579
"ENSOCUG00000005009",3713
"ENSOCUG00000005010",2169
"ENSOCUG00000005011",1858
"ENSOCUG00000005012",2596
"ENSOCUG00000005013",8305
"ENSOCUG00000005014",1115
"ENSOCUG00000005015",1730
"ENSOCUG00000005016",1165
"ENSOCUG00000005017",1332
"ENSOCUG00000005019",3700
"ENSOCUG00000005020",1203
"ENSOCUG00000005021",2973
"ENSOCUG00000005022",1035
"ENSOCUG00000005023",1850
"ENSOCUG00000005024",639
"ENSOCUG00000005025",855
"ENSOCUG00000005026",2993
"ENSOCUG00000005027",870
"ENSOCUG00000005028",1956
"ENSOCUG00000005029",1925
"ENSOCUG00000005030",3779
"ENSOCUG00000005031",6493
"ENSOCUG00000005032",1170
"ENSOCUG00000005033",1709
"ENSOCUG00000005034",1089
"ENSOCUG00000005035",7220
"ENSOCUG00000005036",643
"ENSOCUG00000005038",681
"ENSOCUG00000005039",953
"ENSOCUG00000005040",4900
"ENSOCUG00000005042",2900
"ENSOCUG00000005043",6490
"ENSOCUG00000005044",708
"ENSOCUG00000005045",18903
"ENSOCUG00000005046",3404
"ENSOCUG00000005048",2303
"ENSOCUG00000005049",1002
"ENSOCUG00000005050",1122
"ENSOCUG00000005054",585
"ENSOCUG00000005057",4140
"ENSOCUG00000005059",2801
"ENSOCUG00000005060",651
"ENSOCUG00000005061",720
"ENSOCUG00000005062",6122
"ENSOCUG00000005063",1245.5
"ENSOCUG00000005064",726
"ENSOCUG00000005065",4919
"ENSOCUG00000005066",735
"ENSOCUG00000005068",1994
"ENSOCUG00000005069",768
"ENSOCUG00000005070",693
"ENSOCUG00000005072",381
"ENSOCUG00000005073",2916
"ENSOCUG00000005074",2166
"ENSOCUG00000005075",4168
"ENSOCUG00000005076",2351
"ENSOCUG00000005077",3088.5
"ENSOCUG00000005078",5464
"ENSOCUG00000005079",3927
"ENSOCUG00000005081",2358
"ENSOCUG00000005082",2387
"ENSOCUG00000005083",3574
"ENSOCUG00000005084",348
"ENSOCUG00000005085",4953
"ENSOCUG00000005086",1438
"ENSOCUG00000005088",1128
"ENSOCUG00000005089",548
"ENSOCUG00000005090",1068
"ENSOCUG00000005091",1224
"ENSOCUG00000005092",4332
"ENSOCUG00000005094",2724
"ENSOCUG00000005096",4223
"ENSOCUG00000005097",2070
"ENSOCUG00000005098",3700.5
"ENSOCUG00000005099",543
"ENSOCUG00000005101",5409
"ENSOCUG00000005103",4175
"ENSOCUG00000005105",1063.5
"ENSOCUG00000005106",4271
"ENSOCUG00000005107",391
"ENSOCUG00000005108",4103
"ENSOCUG00000005109",1578
"ENSOCUG00000005111",4170
"ENSOCUG00000005112",1989
"ENSOCUG00000005113",411
"ENSOCUG00000005115",2951
"ENSOCUG00000005116",7387
"ENSOCUG00000005119",1274
"ENSOCUG00000005122",660
"ENSOCUG00000005123",1344
"ENSOCUG00000005126",576
"ENSOCUG00000005127",1637
"ENSOCUG00000005128",4404
"ENSOCUG00000005131",3701
"ENSOCUG00000005132",762
"ENSOCUG00000005133",9447
"ENSOCUG00000005134",1350
"ENSOCUG00000005136",1804
"ENSOCUG00000005137",6360
"ENSOCUG00000005139",8979
"ENSOCUG00000005140",1206
"ENSOCUG00000005141",1056
"ENSOCUG00000005142",1089
"ENSOCUG00000005143",2136
"ENSOCUG00000005144",1794
"ENSOCUG00000005145",3247
"ENSOCUG00000005146",3645
"ENSOCUG00000005147",2610
"ENSOCUG00000005148",375
"ENSOCUG00000005149",2790
"ENSOCUG00000005150",1813
"ENSOCUG00000005151",2609
"ENSOCUG00000005152",1925
"ENSOCUG00000005156",2550
"ENSOCUG00000005157",1980.5
"ENSOCUG00000005158",1965
"ENSOCUG00000005159",3639
"ENSOCUG00000005160",2292
"ENSOCUG00000005161",1835
"ENSOCUG00000005162",2435
"ENSOCUG00000005163",5502
"ENSOCUG00000005164",6406
"ENSOCUG00000005165",1398
"ENSOCUG00000005166",564
"ENSOCUG00000005167",4602
"ENSOCUG00000005168",1343
"ENSOCUG00000005169",2212
"ENSOCUG00000005170",3601
"ENSOCUG00000005171",643
"ENSOCUG00000005172",1799
"ENSOCUG00000005173",1269
"ENSOCUG00000005174",1068
"ENSOCUG00000005175",4424
"ENSOCUG00000005177",2600
"ENSOCUG00000005178",237
"ENSOCUG00000005180",1375
"ENSOCUG00000005182",1521
"ENSOCUG00000005183",579
"ENSOCUG00000005184",1952
"ENSOCUG00000005185",1663
"ENSOCUG00000005186",942
"ENSOCUG00000005187",2497
"ENSOCUG00000005189",1311
"ENSOCUG00000005190",1681
"ENSOCUG00000005191",1113
"ENSOCUG00000005192",738
"ENSOCUG00000005194",717
"ENSOCUG00000005195",2067
"ENSOCUG00000005196",4647
"ENSOCUG00000005197",2613
"ENSOCUG00000005198",294
"ENSOCUG00000005199",399
"ENSOCUG00000005200",453
"ENSOCUG00000005202",318
"ENSOCUG00000005203",4767
"ENSOCUG00000005204",4098
"ENSOCUG00000005205",4149
"ENSOCUG00000005206",4206
"ENSOCUG00000005207",2597
"ENSOCUG00000005208",1053
"ENSOCUG00000005209",5016
"ENSOCUG00000005210",933
"ENSOCUG00000005211",1704
"ENSOCUG00000005213",3318
"ENSOCUG00000005214",933
"ENSOCUG00000005215",1725
"ENSOCUG00000005217",986
"ENSOCUG00000005218",3971
"ENSOCUG00000005220",2358
"ENSOCUG00000005222",1359
"ENSOCUG00000005223",1460
"ENSOCUG00000005224",1210.5
"ENSOCUG00000005225",720
"ENSOCUG00000005226",1914
"ENSOCUG00000005228",1389
"ENSOCUG00000005229",2433
"ENSOCUG00000005230",3180
"ENSOCUG00000005231",5223
"ENSOCUG00000005233",4792
"ENSOCUG00000005234",5372
"ENSOCUG00000005236",1178
"ENSOCUG00000005237",7501
"ENSOCUG00000005238",2680
"ENSOCUG00000005239",2995
"ENSOCUG00000005240",3187
"ENSOCUG00000005242",5151
"ENSOCUG00000005243",951
"ENSOCUG00000005244",1569
"ENSOCUG00000005245",4050
"ENSOCUG00000005246",2587
"ENSOCUG00000005247",2091
"ENSOCUG00000005248",3264
"ENSOCUG00000005249",4878
"ENSOCUG00000005251",930
"ENSOCUG00000005252",2727
"ENSOCUG00000005253",5760
"ENSOCUG00000005254",1422
"ENSOCUG00000005255",1206
"ENSOCUG00000005257",2108
"ENSOCUG00000005258",1152
"ENSOCUG00000005259",315
"ENSOCUG00000005261",1323
"ENSOCUG00000005262",1805
"ENSOCUG00000005263",3935
"ENSOCUG00000005264",1843
"ENSOCUG00000005265",3474
"ENSOCUG00000005266",3490
"ENSOCUG00000005268",930
"ENSOCUG00000005270",1254
"ENSOCUG00000005271",2810
"ENSOCUG00000005273",2022
"ENSOCUG00000005274",2635
"ENSOCUG00000005275",2151
"ENSOCUG00000005276",2349
"ENSOCUG00000005277",3124
"ENSOCUG00000005278",993
"ENSOCUG00000005279",5820
"ENSOCUG00000005280",2023
"ENSOCUG00000005281",1520
"ENSOCUG00000005282",549
"ENSOCUG00000005283",3000
"ENSOCUG00000005284",7114
"ENSOCUG00000005286",3393
"ENSOCUG00000005287",3763
"ENSOCUG00000005288",1704
"ENSOCUG00000005289",5157
"ENSOCUG00000005290",3101.5
"ENSOCUG00000005291",6071
"ENSOCUG00000005292",3070
"ENSOCUG00000005293",1377
"ENSOCUG00000005294",1326
"ENSOCUG00000005295",4866
"ENSOCUG00000005296",2484
"ENSOCUG00000005297",792
"ENSOCUG00000005298",829
"ENSOCUG00000005300",2094
"ENSOCUG00000005302",525
"ENSOCUG00000005304",408
"ENSOCUG00000005305",5827
"ENSOCUG00000005306",487.5
"ENSOCUG00000005307",552
"ENSOCUG00000005308",1785
"ENSOCUG00000005309",433
"ENSOCUG00000005310",2646
"ENSOCUG00000005311",2115
"ENSOCUG00000005312",1023
"ENSOCUG00000005313",1394.5
"ENSOCUG00000005314",7382
"ENSOCUG00000005315",1746
"ENSOCUG00000005316",2680.5
"ENSOCUG00000005317",2178
"ENSOCUG00000005318",761
"ENSOCUG00000005319",459
"ENSOCUG00000005321",5764
"ENSOCUG00000005322",2867
"ENSOCUG00000005323",2880
"ENSOCUG00000005324",10782
"ENSOCUG00000005325",1323
"ENSOCUG00000005327",1300
"ENSOCUG00000005329",13638
"ENSOCUG00000005330",1478
"ENSOCUG00000005331",5358
"ENSOCUG00000005332",3664
"ENSOCUG00000005333",369
"ENSOCUG00000005334",1834
"ENSOCUG00000005335",2112
"ENSOCUG00000005336",6413
"ENSOCUG00000005337",1207
"ENSOCUG00000005338",1204
"ENSOCUG00000005341",1655
"ENSOCUG00000005343",1568
"ENSOCUG00000005345",4666
"ENSOCUG00000005346",6732
"ENSOCUG00000005347",5297
"ENSOCUG00000005349",2459
"ENSOCUG00000005351",4348
"ENSOCUG00000005353",3445
"ENSOCUG00000005354",4193
"ENSOCUG00000005355",528
"ENSOCUG00000005356",5175
"ENSOCUG00000005357",2765
"ENSOCUG00000005358",1951
"ENSOCUG00000005359",393
"ENSOCUG00000005360",753
"ENSOCUG00000005361",936
"ENSOCUG00000005362",1955
"ENSOCUG00000005364",930
"ENSOCUG00000005365",1068
"ENSOCUG00000005366",1140
"ENSOCUG00000005367",1341
"ENSOCUG00000005368",1200
"ENSOCUG00000005369",2423
"ENSOCUG00000005371",5226
"ENSOCUG00000005372",2082
"ENSOCUG00000005373",5531
"ENSOCUG00000005374",7277
"ENSOCUG00000005375",1173
"ENSOCUG00000005376",780
"ENSOCUG00000005377",3505.5
"ENSOCUG00000005379",4427
"ENSOCUG00000005380",1062
"ENSOCUG00000005382",684
"ENSOCUG00000005384",882
"ENSOCUG00000005385",6788
"ENSOCUG00000005386",3645
"ENSOCUG00000005387",3127
"ENSOCUG00000005388",994
"ENSOCUG00000005389",2244
"ENSOCUG00000005390",1068
"ENSOCUG00000005392",600
"ENSOCUG00000005395",3129
"ENSOCUG00000005396",1280
"ENSOCUG00000005398",1326
"ENSOCUG00000005399",633
"ENSOCUG00000005400",372
"ENSOCUG00000005402",1401
"ENSOCUG00000005403",4384
"ENSOCUG00000005405",1782
"ENSOCUG00000005407",1716
"ENSOCUG00000005408",2884
"ENSOCUG00000005409",5687
"ENSOCUG00000005412",1107
"ENSOCUG00000005413",1803
"ENSOCUG00000005414",3233
"ENSOCUG00000005415",700
"ENSOCUG00000005416",942
"ENSOCUG00000005417",1245
"ENSOCUG00000005418",2327
"ENSOCUG00000005419",1557
"ENSOCUG00000005420",1741
"ENSOCUG00000005421",2020
"ENSOCUG00000005422",709.5
"ENSOCUG00000005423",2878
"ENSOCUG00000005425",411
"ENSOCUG00000005426",693
"ENSOCUG00000005427",1034
"ENSOCUG00000005428",2086
"ENSOCUG00000005429",3408
"ENSOCUG00000005430",2127
"ENSOCUG00000005431",1194
"ENSOCUG00000005432",633
"ENSOCUG00000005433",3708
"ENSOCUG00000005434",1589
"ENSOCUG00000005435",402
"ENSOCUG00000005436",4008
"ENSOCUG00000005438",1440
"ENSOCUG00000005439",3328
"ENSOCUG00000005442",486
"ENSOCUG00000005443",4669
"ENSOCUG00000005445",1425
"ENSOCUG00000005446",5376
"ENSOCUG00000005447",3415
"ENSOCUG00000005449",1951
"ENSOCUG00000005451",1537
"ENSOCUG00000005452",1919
"ENSOCUG00000005455",5970
"ENSOCUG00000005456",585
"ENSOCUG00000005457",2028
"ENSOCUG00000005459",2919
"ENSOCUG00000005460",2404
"ENSOCUG00000005461",1437
"ENSOCUG00000005462",936
"ENSOCUG00000005463",5098
"ENSOCUG00000005464",3864
"ENSOCUG00000005465",1529
"ENSOCUG00000005466",4867
"ENSOCUG00000005467",1326
"ENSOCUG00000005468",2075
"ENSOCUG00000005469",787
"ENSOCUG00000005470",2949
"ENSOCUG00000005471",2487
"ENSOCUG00000005473",3998
"ENSOCUG00000005474",1539
"ENSOCUG00000005475",2179
"ENSOCUG00000005476",2575
"ENSOCUG00000005480",4724
"ENSOCUG00000005481",450
"ENSOCUG00000005485",876
"ENSOCUG00000005487",2843
"ENSOCUG00000005488",3166
"ENSOCUG00000005489",942
"ENSOCUG00000005490",1273.5
"ENSOCUG00000005491",2024
"ENSOCUG00000005492",968
"ENSOCUG00000005493",1865
"ENSOCUG00000005494",2329
"ENSOCUG00000005495",1669
"ENSOCUG00000005496",1747
"ENSOCUG00000005498",864
"ENSOCUG00000005499",3764
"ENSOCUG00000005500",628
"ENSOCUG00000005502",339
"ENSOCUG00000005503",1838
"ENSOCUG00000005504",1044
"ENSOCUG00000005505",6959
"ENSOCUG00000005507",1534
"ENSOCUG00000005508",1356
"ENSOCUG00000005509",3488
"ENSOCUG00000005510",3615
"ENSOCUG00000005511",3809
"ENSOCUG00000005512",2692
"ENSOCUG00000005513",3987
"ENSOCUG00000005515",1691
"ENSOCUG00000005516",1113
"ENSOCUG00000005518",4079
"ENSOCUG00000005519",1371
"ENSOCUG00000005520",4859
"ENSOCUG00000005521",993
"ENSOCUG00000005522",2234
"ENSOCUG00000005523",3240
"ENSOCUG00000005524",927
"ENSOCUG00000005525",4282
"ENSOCUG00000005526",1412
"ENSOCUG00000005527",963
"ENSOCUG00000005528",5966
"ENSOCUG00000005529",1815
"ENSOCUG00000005530",4125
"ENSOCUG00000005531",1625
"ENSOCUG00000005532",846
"ENSOCUG00000005533",8866
"ENSOCUG00000005534",342
"ENSOCUG00000005535",2137
"ENSOCUG00000005536",1145
"ENSOCUG00000005537",831
"ENSOCUG00000005539",2463
"ENSOCUG00000005540",4139
"ENSOCUG00000005541",8367
"ENSOCUG00000005542",903
"ENSOCUG00000005543",13381
"ENSOCUG00000005544",591
"ENSOCUG00000005545",1344
"ENSOCUG00000005546",7022
"ENSOCUG00000005547",1428
"ENSOCUG00000005548",1737
"ENSOCUG00000005549",1713
"ENSOCUG00000005551",16158
"ENSOCUG00000005553",1143
"ENSOCUG00000005554",318
"ENSOCUG00000005556",825
"ENSOCUG00000005557",1257.5
"ENSOCUG00000005558",8003
"ENSOCUG00000005559",6202
"ENSOCUG00000005560",1241
"ENSOCUG00000005561",549
"ENSOCUG00000005562",3939
"ENSOCUG00000005563",3133
"ENSOCUG00000005564",4153
"ENSOCUG00000005565",669
"ENSOCUG00000005566",1804.5
"ENSOCUG00000005568",4356
"ENSOCUG00000005569",255
"ENSOCUG00000005571",4130
"ENSOCUG00000005572",2513
"ENSOCUG00000005573",3874
"ENSOCUG00000005574",1440
"ENSOCUG00000005575",3411
"ENSOCUG00000005576",5962
"ENSOCUG00000005577",543
"ENSOCUG00000005579",3811
"ENSOCUG00000005581",3106
"ENSOCUG00000005582",1275
"ENSOCUG00000005584",516
"ENSOCUG00000005585",2734
"ENSOCUG00000005587",441
"ENSOCUG00000005589",6856.5
"ENSOCUG00000005590",6693
"ENSOCUG00000005592",4631
"ENSOCUG00000005593",329
"ENSOCUG00000005594",504
"ENSOCUG00000005595",960
"ENSOCUG00000005596",4089
"ENSOCUG00000005597",4518
"ENSOCUG00000005599",543
"ENSOCUG00000005602",2546
"ENSOCUG00000005603",3705
"ENSOCUG00000005605",1313
"ENSOCUG00000005607",702
"ENSOCUG00000005608",21113
"ENSOCUG00000005610",4198
"ENSOCUG00000005611",672
"ENSOCUG00000005612",543
"ENSOCUG00000005614",1039.5
"ENSOCUG00000005616",8010
"ENSOCUG00000005617",1184
"ENSOCUG00000005619",1371
"ENSOCUG00000005620",4181
"ENSOCUG00000005621",582
"ENSOCUG00000005623",7336
"ENSOCUG00000005624",1111
"ENSOCUG00000005626",2664
"ENSOCUG00000005627",4654
"ENSOCUG00000005628",1023
"ENSOCUG00000005631",2245
"ENSOCUG00000005632",537
"ENSOCUG00000005633",7368
"ENSOCUG00000005634",936
"ENSOCUG00000005636",836
"ENSOCUG00000005638",1365
"ENSOCUG00000005640",1488
"ENSOCUG00000005642",918
"ENSOCUG00000005643",1767
"ENSOCUG00000005644",2045
"ENSOCUG00000005645",2343
"ENSOCUG00000005647",1050
"ENSOCUG00000005648",1714
"ENSOCUG00000005649",288
"ENSOCUG00000005650",783
"ENSOCUG00000005652",1695
"ENSOCUG00000005655",8509
"ENSOCUG00000005656",2145
"ENSOCUG00000005657",873
"ENSOCUG00000005658",2507
"ENSOCUG00000005659",2215
"ENSOCUG00000005660",417
"ENSOCUG00000005661",1099
"ENSOCUG00000005662",6695
"ENSOCUG00000005663",543
"ENSOCUG00000005664",2194
"ENSOCUG00000005665",1059
"ENSOCUG00000005666",2198
"ENSOCUG00000005668",4802
"ENSOCUG00000005669",5545
"ENSOCUG00000005670",933
"ENSOCUG00000005671",1542
"ENSOCUG00000005673",8401
"ENSOCUG00000005675",768
"ENSOCUG00000005676",1239
"ENSOCUG00000005678",777
"ENSOCUG00000005679",627
"ENSOCUG00000005680",1440
"ENSOCUG00000005685",10837
"ENSOCUG00000005688",438
"ENSOCUG00000005689",2679
"ENSOCUG00000005692",5807
"ENSOCUG00000005694",2015
"ENSOCUG00000005695",990
"ENSOCUG00000005696",5233
"ENSOCUG00000005698",306
"ENSOCUG00000005699",465
"ENSOCUG00000005700",1133
"ENSOCUG00000005701",1047
"ENSOCUG00000005702",4547
"ENSOCUG00000005703",714
"ENSOCUG00000005707",1482
"ENSOCUG00000005708",1430
"ENSOCUG00000005709",2842
"ENSOCUG00000005711",1352
"ENSOCUG00000005712",678
"ENSOCUG00000005713",5942
"ENSOCUG00000005714",5580
"ENSOCUG00000005716",3643
"ENSOCUG00000005717",9558
"ENSOCUG00000005719",4899
"ENSOCUG00000005721",1873.5
"ENSOCUG00000005722",1467
"ENSOCUG00000005723",4537
"ENSOCUG00000005724",1816
"ENSOCUG00000005725",939
"ENSOCUG00000005726",4974
"ENSOCUG00000005727",1005
"ENSOCUG00000005728",1380
"ENSOCUG00000005729",4916
"ENSOCUG00000005730",5917
"ENSOCUG00000005731",2009
"ENSOCUG00000005734",2058
"ENSOCUG00000005735",2538
"ENSOCUG00000005736",3800
"ENSOCUG00000005737",1957
"ENSOCUG00000005739",1570.5
"ENSOCUG00000005740",1103
"ENSOCUG00000005741",3492
"ENSOCUG00000005742",681
"ENSOCUG00000005743",669
"ENSOCUG00000005744",1553
"ENSOCUG00000005745",1485
"ENSOCUG00000005746",1361
"ENSOCUG00000005747",5335
"ENSOCUG00000005749",2510
"ENSOCUG00000005750",333
"ENSOCUG00000005751",6955
"ENSOCUG00000005752",354
"ENSOCUG00000005753",657
"ENSOCUG00000005754",1786
"ENSOCUG00000005755",3193
"ENSOCUG00000005756",878
"ENSOCUG00000005757",3811
"ENSOCUG00000005758",579
"ENSOCUG00000005759",1730
"ENSOCUG00000005760",2633
"ENSOCUG00000005763",705
"ENSOCUG00000005764",903
"ENSOCUG00000005766",6922
"ENSOCUG00000005767",2200
"ENSOCUG00000005768",1362
"ENSOCUG00000005769",2148
"ENSOCUG00000005770",1554
"ENSOCUG00000005771",1104
"ENSOCUG00000005772",375
"ENSOCUG00000005773",477
"ENSOCUG00000005774",5407
"ENSOCUG00000005775",2599
"ENSOCUG00000005776",5074
"ENSOCUG00000005777",2201
"ENSOCUG00000005778",4899
"ENSOCUG00000005779",1128
"ENSOCUG00000005780",1758
"ENSOCUG00000005781",1608
"ENSOCUG00000005782",456
"ENSOCUG00000005783",1220
"ENSOCUG00000005785",7700
"ENSOCUG00000005786",1656
"ENSOCUG00000005788",1670
"ENSOCUG00000005789",2895
"ENSOCUG00000005790",2586
"ENSOCUG00000005792",3603
"ENSOCUG00000005794",2777
"ENSOCUG00000005795",615
"ENSOCUG00000005798",2091
"ENSOCUG00000005799",3228
"ENSOCUG00000005802",408
"ENSOCUG00000005804",3285
"ENSOCUG00000005808",5052
"ENSOCUG00000005809",1603.5
"ENSOCUG00000005810",471
"ENSOCUG00000005813",675
"ENSOCUG00000005814",2283
"ENSOCUG00000005815",3645
"ENSOCUG00000005816",5862.5
"ENSOCUG00000005819",2777
"ENSOCUG00000005820",2427
"ENSOCUG00000005822",5935
"ENSOCUG00000005824",1750
"ENSOCUG00000005825",1042.5
"ENSOCUG00000005826",3147
"ENSOCUG00000005827",1557
"ENSOCUG00000005829",2505
"ENSOCUG00000005830",303
"ENSOCUG00000005831",3040
"ENSOCUG00000005834",948
"ENSOCUG00000005835",3993
"ENSOCUG00000005836",6437
"ENSOCUG00000005838",1725
"ENSOCUG00000005839",1423.5
"ENSOCUG00000005841",321
"ENSOCUG00000005843",756
"ENSOCUG00000005845",3176
"ENSOCUG00000005846",1496
"ENSOCUG00000005848",2611
"ENSOCUG00000005849",6375
"ENSOCUG00000005850",1284
"ENSOCUG00000005851",6459
"ENSOCUG00000005852",1249
"ENSOCUG00000005853",3495
"ENSOCUG00000005854",270
"ENSOCUG00000005855",1796
"ENSOCUG00000005856",2314
"ENSOCUG00000005857",2650.5
"ENSOCUG00000005858",1057
"ENSOCUG00000005859",2247
"ENSOCUG00000005860",1377
"ENSOCUG00000005861",3442
"ENSOCUG00000005862",1345
"ENSOCUG00000005865",3350
"ENSOCUG00000005867",1229
"ENSOCUG00000005869",1575
"ENSOCUG00000005870",1206
"ENSOCUG00000005872",1803
"ENSOCUG00000005874",1760
"ENSOCUG00000005876",1134
"ENSOCUG00000005877",960
"ENSOCUG00000005878",831
"ENSOCUG00000005879",1017
"ENSOCUG00000005880",7044
"ENSOCUG00000005881",4256
"ENSOCUG00000005882",2411
"ENSOCUG00000005883",4509
"ENSOCUG00000005884",2061
"ENSOCUG00000005885",12736
"ENSOCUG00000005887",4403
"ENSOCUG00000005888",8857.5
"ENSOCUG00000005890",1470
"ENSOCUG00000005891",3633
"ENSOCUG00000005892",2208
"ENSOCUG00000005893",1665
"ENSOCUG00000005894",249
"ENSOCUG00000005895",1238
"ENSOCUG00000005896",3388
"ENSOCUG00000005897",2328
"ENSOCUG00000005899",2453
"ENSOCUG00000005900",4432
"ENSOCUG00000005903",3574
"ENSOCUG00000005904",1394
