"mdom_ensembl_gid","mdom_gene_name","dnov_ensembl_gid","dnov_gene_name","dnov_homology_type","ocun_ensembl_gid","ocun_gene_name","ocun_homology_type"
"ENSMODG00000007225","MSC","ENSDNOG00000019019","MSC","ortholog_one2one","ENSOCUG00000007208","MSC","ortholog_one2one"
"ENSMODG00000007286","EYA1","ENSDNOG00000010896","EYA1","ortholog_one2one","ENSOCUG00000009052","EYA1","ortholog_one2one"
"ENSMODG00000024976","XKR9","ENSDNOG00000018807","XKR9","ortholog_one2one","ENSOCUG00000008230","XKR9","ortholog_one2one"
"ENSMODG00000015516","XPO6","ENSDNOG00000012449","XPO6","ortholog_one2one","ENSOCUG00000002727","XPO6","ortholog_one2one"
"ENSMODG00000007395","PRDM14","ENSDNOG00000014500","PRDM14","ortholog_one2one","ENSOCUG00000027622","PRDM14","ortholog_one2one"
"ENSMODG00000018274","GOLGB1","ENSDNOG00000044840","GOLGB1","ortholog_one2one","ENSOCUG00000012457","GOLGB1","ortholog_one2one"
"ENSMODG00000001635","ARHGEF5","ENSDNOG00000033475","ARHGEF5","ortholog_one2one","ENSOCUG00000025879","ARHGEF5","ortholog_one2one"
"ENSMODG00000007415","SLCO5A1","ENSDNOG00000037230","SLCO5A1","ortholog_one2one","ENSOCUG00000003263","SLCO5A1","ortholog_one2one"
"ENSMODG00000018280","HCLS1","ENSDNOG00000049207","HCLS1","ortholog_one2one","ENSOCUG00000012449","HCLS1","ortholog_one2one"
"ENSMODG00000007441","SULF1","ENSDNOG00000004499","SULF1","ortholog_one2one","ENSOCUG00000003246","SULF1","ortholog_one2one"
"ENSMODG00000007483","C8orf34","ENSDNOG00000019309","C8orf34","ortholog_one2one","ENSOCUG00000008109","C8orf34","ortholog_one2one"
"ENSMODG00000007595","PREX2","ENSDNOG00000017027","PREX2","ortholog_one2one","ENSOCUG00000001781","PREX2","ortholog_one2one"
"ENSMODG00000007714","CPA6","ENSDNOG00000039211","CPA6","ortholog_one2one","ENSOCUG00000005452","CPA6","ortholog_one2one"
"ENSMODG00000007772","ARFGEF1","ENSDNOG00000024814","ARFGEF1","ortholog_one2one","ENSOCUG00000015867","ARFGEF1","ortholog_one2one"
"ENSMODG00000015499","GSG1L","ENSDNOG00000047577","GSG1L","ortholog_one2one","ENSOCUG00000021880","GSG1L","ortholog_one2one"
"ENSMODG00000001675","NOBOX","ENSDNOG00000037202","NOBOX","ortholog_one2one","ENSOCUG00000001027","NOBOX","ortholog_one2one"
"ENSMODG00000007824","CSPP1","ENSDNOG00000003685","CSPP1","ortholog_one2one","ENSOCUG00000015847","CSPP1","ortholog_one2one"
"ENSMODG00000015496","KIAA0556","ENSDNOG00000011430","KIAA0556","ortholog_one2one","ENSOCUG00000016566","KIAA0556","ortholog_one2one"
"ENSMODG00000007838","COPS5","ENSDNOG00000008237","COPS5","ortholog_one2one","ENSOCUG00000011490","COPS5","ortholog_one2one"
"ENSMODG00000015484","GTF3C1","ENSDNOG00000011363","GTF3C1","ortholog_one2one","ENSOCUG00000015692","GTF3C1","ortholog_one2one"
"ENSMODG00000007853","PPP1R42","ENSDNOG00000007820","PPP1R42","ortholog_one2one","ENSOCUG00000014096","PPP1R42","ortholog_one2one"
"ENSMODG00000024259","","ENSDNOG00000043135","","ortholog_one2one","ENSOCUG00000025923","","ortholog_one2one"
"ENSMODG00000015469","IL21R","ENSDNOG00000004651","IL21R","ortholog_one2one","ENSOCUG00000016437","IL21R","ortholog_one2one"
"ENSMODG00000001806","","ENSDNOG00000036753","","ortholog_one2one","ENSOCUG00000022767","","ortholog_one2one"
"ENSMODG00000007874","MCMDC2","ENSDNOG00000024645","MCMDC2","ortholog_one2one","ENSOCUG00000011583","MCMDC2","ortholog_one2one"
"ENSMODG00000007920","","ENSDNOG00000041136","","ortholog_one2one","ENSOCUG00000011573","","ortholog_one2one"
"ENSMODG00000018286","FBXO40","ENSDNOG00000048461","FBXO40","ortholog_one2one","ENSOCUG00000012444","FBXO40","ortholog_one2one"
"ENSMODG00000001825","CUL1","ENSDNOG00000012074","CUL1","ortholog_one2one","ENSOCUG00000002543","CUL1","ortholog_one2one"
"ENSMODG00000018288","ILDR1","ENSDNOG00000003909","ILDR1","ortholog_one2one","ENSOCUG00000011541","ILDR1","ortholog_one2one"
"ENSMODG00000007927","VCPIP1","ENSDNOG00000005123","VCPIP1","ortholog_one2one","ENSOCUG00000015198","VCPIP1","ortholog_one2one"
"ENSMODG00000025108","CD86","ENSDNOG00000001920","CD86","ortholog_one2one","ENSOCUG00000011550","CD86","ortholog_one2one"
"ENSMODG00000018291","CASR","ENSDNOG00000015243","CASR","ortholog_one2one","ENSOCUG00000005085","CASR","ortholog_one2one"
"ENSMODG00000007964","MYBL1","ENSDNOG00000016860","MYBL1","ortholog_one2one","ENSOCUG00000015184","MYBL1","ortholog_one2one"
"ENSMODG00000022952","IL4R","ENSDNOG00000041346","IL4R","ortholog_one2one","ENSOCUG00000000329","IL4R","ortholog_one2one"
"ENSMODG00000015463","NSMCE1","ENSDNOG00000013271","NSMCE1","ortholog_one2one","ENSOCUG00000001500","NSMCE1","ortholog_one2one"
"ENSMODG00000015460","KDM8","ENSDNOG00000038227","KDM8","ortholog_one2one","ENSOCUG00000021020","KDM8","ortholog_one2one"
"ENSMODG00000018298","CCDC58","ENSDNOG00000005535","CCDC58","ortholog_one2one","ENSOCUG00000002682","CCDC58","ortholog_one2one"
"ENSMODG00000018300","FAM162A","ENSDNOG00000048394","FAM162A","ortholog_one2one","ENSOCUG00000002686","FAM162A","ortholog_one2one"
"ENSMODG00000015452","ZKSCAN2","ENSDNOG00000044830","ZKSCAN2","ortholog_one2one","ENSOCUG00000014735","ZKSCAN2","ortholog_one2one"
"ENSMODG00000024217","OR5B21","ENSDNOG00000014254","OR5B21","ortholog_one2one","ENSOCUG00000023662","OR5B21","ortholog_one2one"
"ENSMODG00000018306","KPNA1","ENSDNOG00000005561","KPNA1","ortholog_one2one","ENSOCUG00000002694","KPNA1","ortholog_one2one"
"ENSMODG00000015443","","ENSDNOG00000039611","","ortholog_one2one","ENSOCUG00000021194","","ortholog_one2one"
"ENSMODG00000024953","C8orf46","ENSDNOG00000041713","C8orf46","ortholog_one2one","ENSOCUG00000000345","C8orf46","ortholog_one2one"
"ENSMODG00000008005","ADHFE1","ENSDNOG00000013650","ADHFE1","ortholog_one2one","ENSOCUG00000008341","ADHFE1","ortholog_one2one"
"ENSMODG00000020172","LPXN","ENSDNOG00000014262","LPXN","ortholog_one2one","ENSOCUG00000005377","LPXN","ortholog_one2one"
"ENSMODG00000020173","","ENSDNOG00000043611","","ortholog_one2one","ENSOCUG00000005385","","ortholog_one2one"
"ENSMODG00000024952","RRS1","ENSDNOG00000017900","RRS1","ortholog_one2one","ENSOCUG00000013490","RRS1","ortholog_one2one"
"ENSMODG00000001864","PDIA4","ENSDNOG00000014782","PDIA4","ortholog_one2one","ENSOCUG00000001661","PDIA4","ortholog_one2one"
"ENSMODG00000015436","","ENSDNOG00000014603","","ortholog_one2one","ENSOCUG00000006118","","ortholog_one2one"
"ENSMODG00000008040","TRIM55","ENSDNOG00000040260","TRIM55","ortholog_one2one","ENSOCUG00000005522","TRIM55","ortholog_one2one"
"ENSMODG00000008051","DNAJC5B","ENSDNOG00000010656","DNAJC5B","ortholog_one2one","ENSOCUG00000007514","DNAJC5B","ortholog_one2one"
"ENSMODG00000001974","ZNF398","ENSDNOG00000038814","ZNF398","ortholog_one2one","ENSOCUG00000008416","ZNF398","ortholog_one2one"
"ENSMODG00000008123","PDE7A","ENSDNOG00000038222","PDE7A","ortholog_one2one","ENSOCUG00000008175","PDE7A","ortholog_one2one"
"ENSMODG00000001987","ZNF282","ENSDNOG00000008361","ZNF282","ortholog_one2one","ENSOCUG00000008423","ZNF282","ortholog_one2one"
"ENSMODG00000001991","ZNF212","ENSDNOG00000008381","ZNF212","ortholog_one2one","ENSOCUG00000008427","ZNF212","ortholog_one2one"
"ENSMODG00000020182","DTX4","ENSDNOG00000019924","DTX4","ortholog_one2one","ENSOCUG00000015049","DTX4","ortholog_one2one"
"ENSMODG00000002329","ZNF777","ENSDNOG00000003957","ZNF777","ortholog_one2one","ENSOCUG00000007975","ZNF777","ortholog_one2one"
"ENSMODG00000020183","MPEG1","ENSDNOG00000034560","MPEG1","ortholog_one2one","ENSOCUG00000015057","MPEG1","ortholog_one2one"
"ENSMODG00000002339","ZNF746","ENSDNOG00000040375","ZNF746","ortholog_one2one","ENSOCUG00000008431","ZNF746","ortholog_one2one"
"ENSMODG00000027603","KRBA1","ENSDNOG00000030688","KRBA1","ortholog_one2one","ENSOCUG00000001443","KRBA1","ortholog_one2one"
"ENSMODG00000015410","RFX3","ENSDNOG00000018668","RFX3","ortholog_one2one","ENSOCUG00000014086","RFX3","ortholog_one2one"
"ENSMODG00000002740","ZNF467","ENSDNOG00000033629","ZNF467","ortholog_one2one","ENSOCUG00000022122","ZNF467","ortholog_one2one"
"ENSMODG00000002813","","ENSDNOG00000035013","","ortholog_one2one","ENSOCUG00000007890","","ortholog_one2one"
"ENSMODG00000025440","SPATA6L","ENSDNOG00000038916","SPATA6L","ortholog_one2one","ENSOCUG00000003455","SPATA6L","ortholog_one2one"
"ENSMODG00000022953","PPAPDC2","ENSDNOG00000015974","PPAPDC2","ortholog_one2one","ENSOCUG00000003465","PPAPDC2","ortholog_one2one"
"ENSMODG00000015385","CDC37L1","ENSDNOG00000015975","CDC37L1","ortholog_one2one","ENSOCUG00000003468","CDC37L1","ortholog_one2one"
"ENSMODG00000015381","AK3","ENSDNOG00000038787","AK3","ortholog_one2one","ENSOCUG00000011411","AK3","ortholog_one2one"
"ENSMODG00000018311","DTX3L","ENSDNOG00000008031","DTX3L","ortholog_one2one","ENSOCUG00000022941","DTX3L","ortholog_one2one"
"ENSMODG00000015377","RCL1","ENSDNOG00000019911","RCL1","ortholog_one2one","ENSOCUG00000008161","RCL1","ortholog_one2one"
"ENSMODG00000015373","JAK2","ENSDNOG00000008173","JAK2","ortholog_one2one","ENSOCUG00000016853","JAK2","ortholog_one2one"
"ENSMODG00000008217","CYP7B1","ENSDNOG00000004741","CYP7B1","ortholog_one2one","ENSOCUG00000000440","CYP7B1","ortholog_one2one"
"ENSMODG00000015352","CD274","ENSDNOG00000018655","CD274","ortholog_one2one","ENSOCUG00000008117","CD274","ortholog_one2one"
"ENSMODG00000008228","BHLHE22","ENSDNOG00000004738","BHLHE22","ortholog_one2one","ENSOCUG00000012968","BHLHE22","ortholog_one2one"
"ENSMODG00000002820","ZNF862","ENSDNOG00000019945","ZNF862","ortholog_one2one","ENSOCUG00000007913","ZNF862","ortholog_one2one"
"ENSMODG00000015344","KIAA1432","ENSDNOG00000042438","KIAA1432","ortholog_one2one","ENSOCUG00000010108","KIAA1432","ortholog_one2one"
"ENSMODG00000008255","YTHDF3","ENSDNOG00000037156","YTHDF3","ortholog_one2one","ENSOCUG00000008723","YTHDF3","ortholog_one2one"
"ENSMODG00000008268","TTPA","ENSDNOG00000046523","TTPA","ortholog_one2one","ENSOCUG00000003039","TTPA","ortholog_one2one"
"ENSMODG00000020190","OPOR80","ENSDNOG00000003523","OR5A1","ortholog_one2one","ENSOCUG00000024310","OR5A1","ortholog_one2one"
"ENSMODG00000018320","HSPBAP1","ENSDNOG00000034751","HSPBAP1","ortholog_one2one","ENSOCUG00000003430","HSPBAP1","ortholog_one2one"
"ENSMODG00000008291","GGH","ENSDNOG00000040880","GGH","ortholog_one2one","ENSOCUG00000003031","GGH","ortholog_one2one"
"ENSMODG00000018322","DIRC2","ENSDNOG00000015403","DIRC2","ortholog_one2one","ENSOCUG00000003434","DIRC2","ortholog_one2one"
"ENSMODG00000008298","NKAIN3","ENSDNOG00000001766","NKAIN3","ortholog_one2one","ENSOCUG00000010378","NKAIN3","ortholog_one2one"
"ENSMODG00000015324","ERMP1","ENSDNOG00000015251","ERMP1","ortholog_one2one","ENSOCUG00000017609","ERMP1","ortholog_one2one"
"ENSMODG00000008351","ASPH","ENSDNOG00000018072","ASPH","ortholog_one2one","ENSOCUG00000029233","ASPH","ortholog_one2one"
"ENSMODG00000018325","SEMA5B","ENSDNOG00000014815","SEMA5B","ortholog_one2one","ENSOCUG00000006139","SEMA5B","ortholog_one2one"
"ENSMODG00000008372","CLVS1","ENSDNOG00000018070","CLVS1","ortholog_one2one","ENSOCUG00000005338","CLVS1","ortholog_one2one"
"ENSMODG00000008488","CHD7","ENSDNOG00000011674","CHD7","ortholog_one2one","ENSOCUG00000010034","CHD7","ortholog_one2one"
"ENSMODG00000003592","LRRC61","ENSDNOG00000038359","LRRC61","ortholog_one2one","ENSOCUG00000021991","LRRC61","ortholog_one2one"
"ENSMODG00000018328","PDIA5","ENSDNOG00000013909","PDIA5","ortholog_one2one","ENSOCUG00000006151","PDIA5","ortholog_one2one"
"ENSMODG00000003600","RARRES2","ENSDNOG00000043637","RARRES2","ortholog_one2one","ENSOCUG00000007943","RARRES2","ortholog_one2one"
"ENSMODG00000018331","SEC22A","ENSDNOG00000037541","SEC22A","ortholog_one2one","ENSOCUG00000001902","SEC22A","ortholog_one2one"
"ENSMODG00000003616","ZNF775","ENSDNOG00000047276","ZNF775","ortholog_one2one","ENSOCUG00000005876","ZNF775","ortholog_one2one"
"ENSMODG00000018333","ADCY5","ENSDNOG00000009964","ADCY5","ortholog_one2one","ENSOCUG00000015141","ADCY5","ortholog_one2one"
"ENSMODG00000015225","GLDC","ENSDNOG00000002519","GLDC","ortholog_one2one","ENSOCUG00000004106","GLDC","ortholog_one2one"
"ENSMODG00000020191","OR4D6","ENSDNOG00000017082","OR4D6","ortholog_one2one","ENSOCUG00000012613","OR4D6","ortholog_one2one"
"ENSMODG00000018338","PTPLB","ENSDNOG00000033819","PTPLB","ortholog_one2one","ENSOCUG00000001175","PTPLB","ortholog_one2one"
"ENSMODG00000018341","MYLK","ENSDNOG00000045381","MYLK","ortholog_one2one","ENSOCUG00000014935","MYLK","ortholog_one2one"
"ENSMODG00000003685","TMEM176A","ENSDNOG00000046252","TMEM176A","ortholog_one2one","ENSOCUG00000016895","TMEM176B","ortholog_one2one"
"ENSMODG00000003706","AOC1","ENSDNOG00000049392","AOC1","ortholog_one2one","ENSOCUG00000014731","AOC1","ortholog_one2one"
"ENSMODG00000015205","TMEM261","ENSDNOG00000017927","TMEM261","ortholog_one2one","ENSOCUG00000000982","TMEM261","ortholog_one2one"
"ENSMODG00000003798","KCNH2","ENSDNOG00000012134","KCNH2","ortholog_one2one","ENSOCUG00000027575","ERG","ortholog_one2one"
"ENSMODG00000003903","NOS3","ENSDNOG00000009848","NOS3","ortholog_one2one","ENSOCUG00000023757","NOS3","ortholog_one2one"
"ENSMODG00000015192","PTPRD","ENSDNOG00000015625","PTPRD","ortholog_one2one","ENSOCUG00000000847","PTPRD","ortholog_one2one"
"ENSMODG00000018347","","ENSDNOG00000000871","","ortholog_one2one","ENSOCUG00000014961","","ortholog_one2one"
"ENSMODG00000018350","KALRN","ENSDNOG00000016920","KALRN","ortholog_one2one","ENSOCUG00000000397","KALRN","ortholog_one2one"
"ENSMODG00000003913","ATG9B","ENSDNOG00000009875","ATG9B","ortholog_one2one","ENSOCUG00000008673","ATG9B","ortholog_one2one"
"ENSMODG00000008571","CA8","ENSDNOG00000032080","CA8","ortholog_one2one","ENSOCUG00000026525","CA8","ortholog_one2one"
"ENSMODG00000003937","ABCB8","ENSDNOG00000032182","ABCB8","ortholog_one2one","ENSOCUG00000008682","ABCB8","ortholog_one2one"
"ENSMODG00000008712","TOX","ENSDNOG00000017905","TOX","ortholog_one2one","ENSOCUG00000005263","TOX","ortholog_one2one"
"ENSMODG00000004076","CDK5","ENSDNOG00000039046","CDK5","ortholog_one2one","ENSOCUG00000021398","CDK5","ortholog_one2one"
"ENSMODG00000020200","OSBP","ENSDNOG00000043002","OSBP","ortholog_one2one","ENSOCUG00000002148","OSBP","ortholog_one2one"
"ENSMODG00000015054","TYRP1","ENSDNOG00000016108","TYRP1","ortholog_one2one","ENSOCUG00000004221","TYRP1","ortholog_one2one"
"ENSMODG00000020201","PATL1","ENSDNOG00000038865","PATL1","ortholog_one2one","ENSOCUG00000002156","PATL1","ortholog_one2one"
"ENSMODG00000015046","LURAP1L","ENSDNOG00000035644","LURAP1L","ortholog_one2one","ENSOCUG00000004226","LURAP1L","ortholog_one2one"
"ENSMODG00000018353","UMPS","ENSDNOG00000016932","UMPS","ortholog_one2one","ENSOCUG00000000412","UMPS","ortholog_one2one"
"ENSMODG00000015042","MPDZ","ENSDNOG00000018125","MPDZ","ortholog_one2one","ENSOCUG00000004401","MPDZ","ortholog_one2one"
"ENSMODG00000020202","OR10V1","ENSDNOG00000012876","OR10V1","ortholog_one2one","ENSOCUG00000016055","OR10V1","ortholog_one2one"
"ENSMODG00000008819","SDCBP","ENSDNOG00000046259","SDCBP","ortholog_one2one","ENSOCUG00000016206","SDCBP","ortholog_one2one"
"ENSMODG00000018360","ITGB5","ENSDNOG00000035121","ITGB5","ortholog_one2one","ENSOCUG00000014602","ITGB5","ortholog_one2one"
"ENSMODG00000008855","CYP7A1","ENSDNOG00000004420","CYP7A1","ortholog_one2one","ENSOCUG00000012283","CYP7A1","ortholog_one2one"
"ENSMODG00000020204","STX3","ENSDNOG00000000388","STX3","ortholog_one2one","ENSOCUG00000013382","STX3","ortholog_one2one"
"ENSMODG00000008866","UBXN2B","ENSDNOG00000041883","UBXN2B","ortholog_one2one","ENSOCUG00000023461","UBXN2B","ortholog_one2one"
"ENSMODG00000008907","FAM110B","ENSDNOG00000018453","FAM110B","ortholog_one2one","ENSOCUG00000028224","FAM110B","ortholog_one2one"
"ENSMODG00000014999","NFIB","ENSDNOG00000019957","NFIB","ortholog_one2one","ENSOCUG00000004249","NFIB","ortholog_one2one"
"ENSMODG00000008961","IMPAD1","ENSDNOG00000009336","IMPAD1","ortholog_one2one","ENSOCUG00000004428","IMPAD1","ortholog_one2one"
"ENSMODG00000004243","TMUB1","ENSDNOG00000045011","TMUB1","ortholog_one2one","ENSOCUG00000001736","TMUB1","ortholog_one2one"
"ENSMODG00000008973","PENK","ENSDNOG00000005280","PENK","ortholog_one2one","ENSOCUG00000007052","PENK","ortholog_one2one"
"ENSMODG00000004345","AGAP3","ENSDNOG00000034647","AGAP3","ortholog_one2one","ENSOCUG00000022100","AGAP3","ortholog_one2one"
"ENSMODG00000018367","MUC13","ENSDNOG00000034032","MUC13","ortholog_one2one","ENSOCUG00000014614","MUC13","ortholog_one2one"
"ENSMODG00000009075","","ENSDNOG00000042762","","ortholog_one2one","ENSOCUG00000023853","","ortholog_one2one"
"ENSMODG00000020206","GIF","ENSDNOG00000001978","GIF","ortholog_one2one","ENSOCUG00000003643","GIF","ortholog_one2one"
"ENSMODG00000018368","HEG1","ENSDNOG00000010820","HEG1","ortholog_one2one","ENSOCUG00000014625","HEG1","ortholog_one2one"
"ENSMODG00000014993","ZDHHC21","ENSDNOG00000014053","ZDHHC21","ortholog_one2one","ENSOCUG00000010367","ZDHHC21","ortholog_one2one"
"ENSMODG00000014991","CER1","ENSDNOG00000015103","CER1","ortholog_one2one","ENSOCUG00000010374","CER1","ortholog_one2one"
"ENSMODG00000018371","SLC12A8","ENSDNOG00000024925","SLC12A8","ortholog_one2one","ENSOCUG00000027393","SLC12A8","ortholog_one2one"
"ENSMODG00000014986","FREM1","ENSDNOG00000007689","FREM1","ortholog_one2one","ENSOCUG00000010379","FREM1","ortholog_one2one"
"ENSMODG00000018374","ZNF148","ENSDNOG00000000280","ZNF148","ortholog_one2one","ENSOCUG00000029362","ZNF148","ortholog_one2one"
"ENSMODG00000014967","TTC39B","ENSDNOG00000035764","TTC39B","ortholog_one2one","ENSOCUG00000010656","TTC39B","ortholog_one2one"
"ENSMODG00000014956","SNAPC3","ENSDNOG00000012296","SNAPC3","ortholog_one2one","ENSOCUG00000009315","SNAPC3","ortholog_one2one"
"ENSMODG00000014943","PSIP1","ENSDNOG00000012311","PSIP1","ortholog_one2one","ENSOCUG00000009319","PSIP1","ortholog_one2one"
"ENSMODG00000018377","SNX4","ENSDNOG00000011073","SNX4","ortholog_one2one","ENSOCUG00000015447","SNX4","ortholog_one2one"
"ENSMODG00000004356","GBX1","ENSDNOG00000045375","GBX1","ortholog_one2one","ENSOCUG00000022822","GBX1","ortholog_one2one"
"ENSMODG00000004367","ASB10","ENSDNOG00000032483","ASB10","ortholog_one2one","ENSOCUG00000000242","ASB10","ortholog_one2one"
"ENSMODG00000018380","OSBPL11","ENSDNOG00000024690","OSBPL11","ortholog_one2one","ENSOCUG00000009660","OSBPL11","ortholog_one2one"
"ENSMODG00000018385","GPD1L","ENSDNOG00000039932","GPD1L","ortholog_one2one","ENSOCUG00000010093","GPD1L","ortholog_one2one"
"ENSMODG00000009095","SDR16C5","ENSDNOG00000036542","SDR16C5","ortholog_one2one","ENSOCUG00000009657","SDR16C5","ortholog_one2one"
"ENSMODG00000004420","ABCF2","ENSDNOG00000004954","ABCF2","ortholog_one2one","ENSOCUG00000000245","ABCF2","ortholog_one2one"
"ENSMODG00000024930","CHCHD7","ENSDNOG00000014484","CHCHD7","ortholog_one2one","ENSOCUG00000005913","CHCHD7","ortholog_one2one"
"ENSMODG00000014860","CNTLN","ENSDNOG00000036761","CNTLN","ortholog_one2one","ENSOCUG00000002551","CNTLN","ortholog_one2one"
"ENSMODG00000018387","LMLN","ENSDNOG00000045591","LMLN","ortholog_one2one","ENSOCUG00000001233","LMLN","ortholog_one2one"
"ENSMODG00000009106","PLAG1","ENSDNOG00000041438","PLAG1","ortholog_one2one","ENSOCUG00000006001","PLAG1","ortholog_one2one"
"ENSMODG00000014850","SH3GL2","ENSDNOG00000030625","SH3GL2","ortholog_one2one","ENSOCUG00000001183","SH3GL2","ortholog_one2one"
"ENSMODG00000004429","CHPF2","ENSDNOG00000039901","CHPF2","ortholog_one2one","ENSOCUG00000000247","CHPF2","ortholog_one2one"
"ENSMODG00000024929","MOS","ENSDNOG00000008331","MOS","ortholog_one2one","ENSOCUG00000014049","MOS","ortholog_one2one"
"ENSMODG00000018389","IQCG","ENSDNOG00000001256","IQCG","ortholog_one2one","ENSOCUG00000001229","IQCG","ortholog_one2one"
"ENSMODG00000004451","SMARCD3","ENSDNOG00000008824","SMARCD3","ortholog_one2one","ENSOCUG00000000249","SMARCD3","ortholog_one2one"
"ENSMODG00000018392","LRCH3","ENSDNOG00000001253","LRCH3","ortholog_one2one","ENSOCUG00000012777","LRCH3","ortholog_one2one"
"ENSMODG00000014676","FAM154A","ENSDNOG00000031989","FAM154A","ortholog_one2one","ENSOCUG00000012362","FAM154A","ortholog_one2one"
"ENSMODG00000014675","HAUS6","ENSDNOG00000037539","HAUS6","ortholog_one2one","ENSOCUG00000003507","HAUS6","ortholog_one2one"
"ENSMODG00000018393","FYTTD1","ENSDNOG00000040247","FYTTD1","ortholog_one2one","ENSOCUG00000012770","FYTTD1","ortholog_one2one"
"ENSMODG00000009142","LYN","ENSDNOG00000014741","LYN","ortholog_one2one","ENSOCUG00000003056","LYN","ortholog_one2one"
"ENSMODG00000009174","TGS1","ENSDNOG00000008353","TGS1","ortholog_one2one","ENSOCUG00000017522","TGS1","ortholog_one2one"
"ENSMODG00000009183","TMEM68","ENSDNOG00000044009","TMEM68","ortholog_one2one","ENSOCUG00000017517","TMEM68","ortholog_one2one"
"ENSMODG00000004545","WDR86","ENSDNOG00000046515","WDR86","ortholog_one2one","ENSOCUG00000004055","WDR86","ortholog_one2one"
"ENSMODG00000004555","CRYGN","ENSDNOG00000001230","CRYGN","ortholog_one2one","ENSOCUG00000013525","CRYGN","ortholog_one2one"
"ENSMODG00000004614","PRKAG2","ENSDNOG00000046116","PRKAG2","ortholog_one2one","ENSOCUG00000006463","PRKAG2","ortholog_one2one"
"ENSMODG00000018402","KIAA0226","ENSDNOG00000030963","KIAA0226","ortholog_one2one","ENSOCUG00000012754","KIAA0226","ortholog_one2one"
"ENSMODG00000014661","PLIN2","ENSDNOG00000032208","PLIN2","ortholog_one2one","ENSOCUG00000012244","PLIN2","ortholog_one2one"
"ENSMODG00000014650","FSD1L","ENSDNOG00000019454","FSD1L","ortholog_one2one","ENSOCUG00000023297","FSD1L","ortholog_one2one"
"ENSMODG00000014646","FKTN","ENSDNOG00000018217","FKTN","ortholog_one2one","ENSOCUG00000005809","FKTN","ortholog_one2one"
"ENSMODG00000009343","RP1","ENSDNOG00000002743","RP1","ortholog_one2one","ENSOCUG00000015022","RP1","ortholog_one2one"
"ENSMODG00000004710","GALNT11","ENSDNOG00000007739","GALNT11","ortholog_one2one","ENSOCUG00000011317","GALNT11","ortholog_one2one"
"ENSMODG00000014597","ZNF462","ENSDNOG00000012187","ZNF462","ortholog_one2one","ENSOCUG00000012546","ZNF462","ortholog_one2one"
"ENSMODG00000014569","KLF4","ENSDNOG00000043478","KLF4","ortholog_one2one","ENSOCUG00000005904","KLF4","ortholog_one2one"
"ENSMODG00000009360","MRPL15","ENSDNOG00000048750","MRPL15","ortholog_one2one","ENSOCUG00000001949","MRPL15","ortholog_one2one"
"ENSMODG00000024163","TOMM6","ENSDNOG00000025602","OBTP","ortholog_one2one","ENSOCUG00000022642","OBTP","ortholog_one2one"
"ENSMODG00000028115","XRCC2","ENSDNOG00000040372","XRCC2","ortholog_one2one","ENSOCUG00000001941","XRCC2","ortholog_one2one"
"ENSMODG00000004852","","ENSDNOG00000019288","","ortholog_one2one","ENSOCUG00000000459","ACTR3B","ortholog_one2one"
"ENSMODG00000004898","DPP6","ENSDNOG00000040688","DPP6","ortholog_one2one","ENSOCUG00000012252","DPP6","ortholog_one2one"
"ENSMODG00000009398","RGS20","ENSDNOG00000038623","RGS20","ortholog_one2one","ENSOCUG00000001051","RGS20","ortholog_one2one"
"ENSMODG00000024926","","ENSDNOG00000032201","","ortholog_one2one","ENSOCUG00000012555","","ortholog_one2one"
"ENSMODG00000028102","MUC20","ENSDNOG00000014117","MUC20","ortholog_one2one","ENSOCUG00000023905","MUC20","ortholog_one2one"
"ENSMODG00000009431","ATP6V1H","ENSDNOG00000018864","ATP6V1H","ortholog_one2one","ENSOCUG00000016298","ATP6V1H","ortholog_one2one"
"ENSMODG00000018417","MUC4","ENSDNOG00000036250","MUC4","ortholog_one2one","ENSOCUG00000007988","MUC4","ortholog_one2one"
"ENSMODG00000014442","GRIN3A","ENSDNOG00000010246","GRIN3A","ortholog_one2one","ENSOCUG00000016738","GRIN3A","ortholog_one2one"
"ENSMODG00000009510","OPRK1","ENSDNOG00000019938","OPRK1","ortholog_one2one","ENSOCUG00000003120","OPRK1","ortholog_one2one"
"ENSMODG00000014435","RNF20","ENSDNOG00000006805","RNF20","ortholog_one2one","ENSOCUG00000012019","RNF20","ortholog_one2one"
"ENSMODG00000009573","NPBWR1","ENSDNOG00000003135","NPBWR1","ortholog_one2one","ENSOCUG00000028231","NPBWR1","ortholog_one2one"
"ENSMODG00000018423","TNK2","ENSDNOG00000035045","TNK2","ortholog_one2one","ENSOCUG00000008686","TNK2","ortholog_one2one"
"ENSMODG00000022960","MRPL50","ENSDNOG00000035230","MRPL50","ortholog_one2one","ENSOCUG00000006340","MRPL50","ortholog_one2one"
"ENSMODG00000014410","BAAT","ENSDNOG00000036297","BAAT","ortholog_one2one","ENSOCUG00000009723","BAAT","ortholog_one2one"
"ENSMODG00000014400","","ENSDNOG00000043410","","ortholog_one2one","ENSOCUG00000026800","","ortholog_one2one"
"ENSMODG00000014394","","ENSDNOG00000018740","","ortholog_one2one","ENSOCUG00000013668","","ortholog_one2one"
"ENSMODG00000018430","SLC51A","ENSDNOG00000049607","SLC51A","ortholog_one2one","ENSOCUG00000000119","OSTALPA","ortholog_one2one"
