"mdom_ensembl_gid","mdom_feature_length"
"ENSMODG00000002365",3807
"ENSMODG00000002366",1371
"ENSMODG00000002367",2616
"ENSMODG00000002368",1611
"ENSMODG00000002369",2487
"ENSMODG00000002371",996
"ENSMODG00000002372",2854
"ENSMODG00000002373",5183
"ENSMODG00000002374",1873
"ENSMODG00000002375",1230
"ENSMODG00000002376",744
"ENSMODG00000002377",1586
"ENSMODG00000002378",3234
"ENSMODG00000002379",1637
"ENSMODG00000002380",4586
"ENSMODG00000002381",591
"ENSMODG00000002382",600
"ENSMODG00000002383",351
"ENSMODG00000002384",777
"ENSMODG00000002385",2402
"ENSMODG00000002386",1871
"ENSMODG00000002387",1896
"ENSMODG00000002391",1031
"ENSMODG00000002394",3533
"ENSMODG00000002395",1131
"ENSMODG00000002396",4490
"ENSMODG00000002397",537
"ENSMODG00000002398",2822
"ENSMODG00000002399",721
"ENSMODG00000002400",5498
"ENSMODG00000002401",1707
"ENSMODG00000002402",2794
"ENSMODG00000002404",10731
"ENSMODG00000002405",744
"ENSMODG00000002406",2867.5
"ENSMODG00000002407",3024
"ENSMODG00000002411",4436
"ENSMODG00000002412",2347
"ENSMODG00000002416",3072
"ENSMODG00000002417",3792
"ENSMODG00000002419",3820
"ENSMODG00000002420",2697
"ENSMODG00000002423",3591
"ENSMODG00000002424",660
"ENSMODG00000002425",1224
"ENSMODG00000002426",753
"ENSMODG00000002429",1305
"ENSMODG00000002430",1446
"ENSMODG00000002432",2481
"ENSMODG00000002434",8004
"ENSMODG00000002435",5685
"ENSMODG00000002436",7609
"ENSMODG00000002439",5904
"ENSMODG00000002440",3424
"ENSMODG00000002443",4647
"ENSMODG00000002444",6399
"ENSMODG00000002445",1623
"ENSMODG00000002446",1126
"ENSMODG00000002447",1776
"ENSMODG00000002448",4900
"ENSMODG00000002449",300
"ENSMODG00000002450",4641
"ENSMODG00000002452",660
"ENSMODG00000002453",1356
"ENSMODG00000002454",1003
"ENSMODG00000002455",6228
"ENSMODG00000002457",1548
"ENSMODG00000002458",5375
"ENSMODG00000002459",1278
"ENSMODG00000002460",1443
"ENSMODG00000002461",1041
"ENSMODG00000002463",564
"ENSMODG00000002465",5148
"ENSMODG00000002466",4262
"ENSMODG00000002467",3795
"ENSMODG00000002469",556
"ENSMODG00000002470",2109
"ENSMODG00000002471",1023
"ENSMODG00000002472",6217
"ENSMODG00000002473",624
"ENSMODG00000002474",4401
"ENSMODG00000002475",1599
"ENSMODG00000002476",1520
"ENSMODG00000002477",2295
"ENSMODG00000002478",363
"ENSMODG00000002479",1403
"ENSMODG00000002480",1176
"ENSMODG00000002481",1427
"ENSMODG00000002482",3578
"ENSMODG00000002484",342
"ENSMODG00000002485",3965
"ENSMODG00000002486",428
"ENSMODG00000002489",6306
"ENSMODG00000002490",465
"ENSMODG00000002491",2127
"ENSMODG00000002493",3056
"ENSMODG00000002494",1038
"ENSMODG00000002495",4921
"ENSMODG00000002497",6143
"ENSMODG00000002499",1287
"ENSMODG00000002501",2011
"ENSMODG00000002502",1592
"ENSMODG00000002503",450
"ENSMODG00000002504",1365
"ENSMODG00000002505",549
"ENSMODG00000002506",574.5
"ENSMODG00000002507",1912
"ENSMODG00000002508",693
"ENSMODG00000002509",5082
"ENSMODG00000002512",7725
"ENSMODG00000002515",1305
"ENSMODG00000002516",7666
"ENSMODG00000002517",489
"ENSMODG00000002518",1405
"ENSMODG00000002519",4478
"ENSMODG00000002520",4113
"ENSMODG00000002521",2881
"ENSMODG00000002522",1509
"ENSMODG00000002524",3037
"ENSMODG00000002525",696
"ENSMODG00000002526",4104
"ENSMODG00000002527",1335
"ENSMODG00000002529",5641
"ENSMODG00000002531",3911
"ENSMODG00000002532",1269
"ENSMODG00000002535",456
"ENSMODG00000002538",4472
"ENSMODG00000002539",2725
"ENSMODG00000002541",6075
"ENSMODG00000002543",1776
"ENSMODG00000002544",3069
"ENSMODG00000002546",3152
"ENSMODG00000002547",1375
"ENSMODG00000002548",4203
"ENSMODG00000002549",3690
"ENSMODG00000002551",1009
"ENSMODG00000002552",5348
"ENSMODG00000002553",6402
"ENSMODG00000002554",3422
"ENSMODG00000002555",5744
"ENSMODG00000002557",2703
"ENSMODG00000002558",3153
"ENSMODG00000002559",5492
"ENSMODG00000002560",1653
"ENSMODG00000002561",4527
"ENSMODG00000002562",1974
"ENSMODG00000002563",5564
"ENSMODG00000002564",1266
"ENSMODG00000002565",8927
"ENSMODG00000002566",1473
"ENSMODG00000002568",954
"ENSMODG00000002570",472
"ENSMODG00000002571",1407
"ENSMODG00000002572",6513
"ENSMODG00000002574",1062
"ENSMODG00000002575",879
"ENSMODG00000002576",867
"ENSMODG00000002578",945
"ENSMODG00000002579",3770
"ENSMODG00000002580",924
"ENSMODG00000002581",1071
"ENSMODG00000002582",5691
"ENSMODG00000002586",1742
"ENSMODG00000002587",5924
"ENSMODG00000002588",2288
"ENSMODG00000002589",4863
"ENSMODG00000002590",951
"ENSMODG00000002591",5137
"ENSMODG00000002592",1515
"ENSMODG00000002593",3866
"ENSMODG00000002595",4710
"ENSMODG00000002596",375
"ENSMODG00000002597",1737
"ENSMODG00000002598",1425
"ENSMODG00000002599",1803
"ENSMODG00000002600",10497
"ENSMODG00000002601",6125
"ENSMODG00000002602",2623
"ENSMODG00000002603",3702
"ENSMODG00000002604",3767
"ENSMODG00000002605",1617
"ENSMODG00000002606",351
"ENSMODG00000002607",2557
"ENSMODG00000002610",1056
"ENSMODG00000002612",4280
"ENSMODG00000002613",3271
"ENSMODG00000002614",2463
"ENSMODG00000002617",755
"ENSMODG00000002618",1635
"ENSMODG00000002620",2190
"ENSMODG00000002621",5486
"ENSMODG00000002623",6067
"ENSMODG00000002624",2328
"ENSMODG00000002626",7735
"ENSMODG00000002627",1362
"ENSMODG00000002628",1728
"ENSMODG00000002629",3600
"ENSMODG00000002630",3910
"ENSMODG00000002631",981
"ENSMODG00000002632",5297
"ENSMODG00000002633",1020
"ENSMODG00000002634",414
"ENSMODG00000002635",4141
"ENSMODG00000002636",2418
"ENSMODG00000002637",12750
"ENSMODG00000002640",7915
"ENSMODG00000002641",1660
"ENSMODG00000002643",1177.5
"ENSMODG00000002644",2369
"ENSMODG00000002645",7804
"ENSMODG00000002646",1497
"ENSMODG00000002647",1175
"ENSMODG00000002648",774
"ENSMODG00000002650",5279
"ENSMODG00000002651",6423
"ENSMODG00000002652",1950
"ENSMODG00000002653",3845
"ENSMODG00000002654",3945
"ENSMODG00000002655",2619
"ENSMODG00000002658",2483
"ENSMODG00000002659",747
"ENSMODG00000002660",2778
"ENSMODG00000002661",2020
"ENSMODG00000002662",1802
"ENSMODG00000002663",822
"ENSMODG00000002664",804
"ENSMODG00000002665",5620
"ENSMODG00000002666",1425
"ENSMODG00000002667",5801
"ENSMODG00000002668",1718
"ENSMODG00000002671",2169
"ENSMODG00000002672",4833
"ENSMODG00000002674",1962
"ENSMODG00000002675",13205
"ENSMODG00000002676",1663
"ENSMODG00000002677",1266
"ENSMODG00000002678",3545
"ENSMODG00000002679",1971
"ENSMODG00000002680",842
"ENSMODG00000002681",408
"ENSMODG00000002682",2212
"ENSMODG00000002683",1600
"ENSMODG00000002685",1287
"ENSMODG00000002686",552
"ENSMODG00000002687",501
"ENSMODG00000002688",3870
"ENSMODG00000002689",2343
"ENSMODG00000002690",2407
"ENSMODG00000002691",1162
"ENSMODG00000002693",2058
"ENSMODG00000002694",366
"ENSMODG00000002695",2305
"ENSMODG00000002696",821
"ENSMODG00000002697",1506
"ENSMODG00000002698",1044
"ENSMODG00000002699",1455
"ENSMODG00000002700",711
"ENSMODG00000002702",291
"ENSMODG00000002703",982
"ENSMODG00000002704",2034
"ENSMODG00000002705",2513.5
"ENSMODG00000002707",834
"ENSMODG00000002708",2625
"ENSMODG00000002709",2555
"ENSMODG00000002710",5911
"ENSMODG00000002711",3842
"ENSMODG00000002712",3556
"ENSMODG00000002713",867
"ENSMODG00000002714",3834
"ENSMODG00000002715",819
"ENSMODG00000002716",3728
"ENSMODG00000002717",4690
"ENSMODG00000002718",7046
"ENSMODG00000002719",5213
"ENSMODG00000002720",1176
"ENSMODG00000002721",1519
"ENSMODG00000002722",8906
"ENSMODG00000002723",4561
"ENSMODG00000002724",4395
"ENSMODG00000002725",1592
"ENSMODG00000002727",1769
"ENSMODG00000002729",4084
"ENSMODG00000002730",5700
"ENSMODG00000002731",1995
"ENSMODG00000002732",5070
"ENSMODG00000002734",10707
"ENSMODG00000002737",1485
"ENSMODG00000002738",1380
"ENSMODG00000002739",1737
"ENSMODG00000002740",6145
"ENSMODG00000002742",1347
"ENSMODG00000002743",4557
"ENSMODG00000002744",2148
"ENSMODG00000002745",2074
"ENSMODG00000002746",3744
"ENSMODG00000002748",1587
"ENSMODG00000002749",438
"ENSMODG00000002750",3975
"ENSMODG00000002751",4099
"ENSMODG00000002753",1310
"ENSMODG00000002754",3845
"ENSMODG00000002755",1881
"ENSMODG00000002756",3452
"ENSMODG00000002757",5042
"ENSMODG00000002759",905
"ENSMODG00000002760",761
"ENSMODG00000002761",2977
"ENSMODG00000002762",1441
"ENSMODG00000002763",231
"ENSMODG00000002764",3584
"ENSMODG00000002765",1839
"ENSMODG00000002766",1404
"ENSMODG00000002767",5328
"ENSMODG00000002768",870
"ENSMODG00000002769",8384
"ENSMODG00000002770",1178
"ENSMODG00000002771",726
"ENSMODG00000002772",1863.5
"ENSMODG00000002773",7309
"ENSMODG00000002778",990
"ENSMODG00000002779",6131
"ENSMODG00000002781",2532
"ENSMODG00000002782",543
"ENSMODG00000002783",1848
"ENSMODG00000002784",5215
"ENSMODG00000002785",705
"ENSMODG00000002787",4877
"ENSMODG00000002788",2524
"ENSMODG00000002789",5745
"ENSMODG00000002791",1382
"ENSMODG00000002793",6352
"ENSMODG00000002794",1945
"ENSMODG00000002796",5356
"ENSMODG00000002797",1765
"ENSMODG00000002798",6351
"ENSMODG00000002799",1665
"ENSMODG00000002800",3745
"ENSMODG00000002801",3977
"ENSMODG00000002802",5529
"ENSMODG00000002804",1005
"ENSMODG00000002805",3869
"ENSMODG00000002806",1834.5
"ENSMODG00000002807",4056
"ENSMODG00000002808",1940
"ENSMODG00000002810",2487
"ENSMODG00000002812",3800
"ENSMODG00000002813",15622
"ENSMODG00000002814",5698
"ENSMODG00000002815",3365
"ENSMODG00000002817",14212
"ENSMODG00000002818",2586
"ENSMODG00000002819",4637
"ENSMODG00000002820",7039
"ENSMODG00000002821",1245
"ENSMODG00000002822",1521
"ENSMODG00000002823",1137
"ENSMODG00000002824",4340.5
"ENSMODG00000002825",4232
"ENSMODG00000002826",999
"ENSMODG00000002827",391
"ENSMODG00000002828",507
"ENSMODG00000002829",7102
"ENSMODG00000002830",3839
"ENSMODG00000002831",3224
"ENSMODG00000002832",747
"ENSMODG00000002835",747
"ENSMODG00000002836",645
"ENSMODG00000002837",6989
"ENSMODG00000002838",5152
"ENSMODG00000002842",7606
"ENSMODG00000002843",2670
"ENSMODG00000002844",4660
"ENSMODG00000002847",15169
"ENSMODG00000002848",7486
"ENSMODG00000002849",2055
"ENSMODG00000002850",1461
"ENSMODG00000002852",4063
"ENSMODG00000002855",3095
"ENSMODG00000002856",7257
"ENSMODG00000002858",1182
"ENSMODG00000002859",2934
"ENSMODG00000002860",1050
"ENSMODG00000002861",1062
"ENSMODG00000002862",1363
"ENSMODG00000002863",3546
"ENSMODG00000002864",742
"ENSMODG00000002865",4176
"ENSMODG00000002866",4711
"ENSMODG00000002867",5415
"ENSMODG00000002868",1697
"ENSMODG00000002869",6296
"ENSMODG00000002870",1613
"ENSMODG00000002873",810
"ENSMODG00000002874",573
"ENSMODG00000002875",3362
"ENSMODG00000002876",5276.5
"ENSMODG00000002880",816
"ENSMODG00000002882",1620
"ENSMODG00000002883",3324
"ENSMODG00000002884",2555
"ENSMODG00000002885",246
"ENSMODG00000002887",549
"ENSMODG00000002889",4128
"ENSMODG00000002891",2311
"ENSMODG00000002894",1413
"ENSMODG00000002895",597
"ENSMODG00000002896",929
"ENSMODG00000002897",845
"ENSMODG00000002898",5214
"ENSMODG00000002899",3456
"ENSMODG00000002901",5235
"ENSMODG00000002902",2493
"ENSMODG00000002903",126
"ENSMODG00000002904",1259
"ENSMODG00000002905",5977
"ENSMODG00000002906",8951
"ENSMODG00000002909",10176
"ENSMODG00000002910",5904
"ENSMODG00000002912",1162.5
"ENSMODG00000002913",765
"ENSMODG00000002914",9362
"ENSMODG00000002915",2442
"ENSMODG00000002917",3862
"ENSMODG00000002918",2087
"ENSMODG00000002920",840
"ENSMODG00000002921",1287
"ENSMODG00000002922",3791
"ENSMODG00000002923",1532
"ENSMODG00000002925",2389
"ENSMODG00000002926",1872
"ENSMODG00000002927",1449
"ENSMODG00000002928",3052
"ENSMODG00000002929",2226
"ENSMODG00000002930",4889
"ENSMODG00000002931",2338
"ENSMODG00000002932",5535
"ENSMODG00000002933",773
"ENSMODG00000002935",2308
"ENSMODG00000002936",711
"ENSMODG00000002937",2821
"ENSMODG00000002938",5102
"ENSMODG00000002941",4131
"ENSMODG00000002942",5487
"ENSMODG00000002944",5868
"ENSMODG00000002945",3497
"ENSMODG00000002946",1950
"ENSMODG00000002949",1631
"ENSMODG00000002951",744
"ENSMODG00000002952",1116
"ENSMODG00000002954",1225
"ENSMODG00000002955",654
"ENSMODG00000002956",282
"ENSMODG00000002957",537
"ENSMODG00000002958",3482
"ENSMODG00000002959",6556
"ENSMODG00000002960",603
"ENSMODG00000002961",4537
"ENSMODG00000002962",792
"ENSMODG00000002963",965
"ENSMODG00000002966",3343
"ENSMODG00000002967",2678
"ENSMODG00000002968",927
"ENSMODG00000002969",699
"ENSMODG00000002970",2242
"ENSMODG00000002972",6002
"ENSMODG00000002974",519
"ENSMODG00000002975",444
"ENSMODG00000002976",4889
"ENSMODG00000002977",2284
"ENSMODG00000002978",1500
"ENSMODG00000002980",1489
"ENSMODG00000002981",5991
"ENSMODG00000002982",1237
"ENSMODG00000002983",1693
"ENSMODG00000002985",3230
"ENSMODG00000002986",3734
"ENSMODG00000002987",5517
"ENSMODG00000002988",744
"ENSMODG00000002989",1874
"ENSMODG00000002991",861
"ENSMODG00000002992",3663
"ENSMODG00000002993",552
"ENSMODG00000002994",1883
"ENSMODG00000002995",4144
"ENSMODG00000002996",2598
"ENSMODG00000002997",5662
"ENSMODG00000002999",2616
"ENSMODG00000003000",3932
"ENSMODG00000003001",1327
"ENSMODG00000003002",1928
"ENSMODG00000003003",5604
"ENSMODG00000003005",2754
"ENSMODG00000003007",552
"ENSMODG00000003009",645
"ENSMODG00000003010",2210
"ENSMODG00000003012",3025
"ENSMODG00000003013",1122
"ENSMODG00000003014",1339
"ENSMODG00000003015",2906
"ENSMODG00000003016",2717
"ENSMODG00000003017",3298
"ENSMODG00000003019",1071
"ENSMODG00000003021",288
"ENSMODG00000003022",11032
"ENSMODG00000003023",6782
"ENSMODG00000003024",5998
"ENSMODG00000003026",5658
"ENSMODG00000003027",1245
"ENSMODG00000003028",3979
"ENSMODG00000003030",924
"ENSMODG00000003031",4876
"ENSMODG00000003033",3469
"ENSMODG00000003035",1062
"ENSMODG00000003037",1416
"ENSMODG00000003040",1108
"ENSMODG00000003041",366
"ENSMODG00000003042",5324
"ENSMODG00000003043",1053
"ENSMODG00000003044",747
"ENSMODG00000003046",1758
"ENSMODG00000003047",1119
"ENSMODG00000003048",2259
"ENSMODG00000003049",1683
"ENSMODG00000003050",2401
"ENSMODG00000003051",2382
"ENSMODG00000003052",2103
"ENSMODG00000003053",2685
"ENSMODG00000003055",1928
"ENSMODG00000003056",2649
"ENSMODG00000003057",2526
"ENSMODG00000003058",4956
"ENSMODG00000003059",2828
"ENSMODG00000003060",3586
"ENSMODG00000003062",2826
"ENSMODG00000003063",2604
"ENSMODG00000003065",1215
"ENSMODG00000003066",3090
"ENSMODG00000003068",1767
"ENSMODG00000003069",1717
"ENSMODG00000003070",3550
"ENSMODG00000003071",3204
"ENSMODG00000003072",1791
"ENSMODG00000003073",1002
"ENSMODG00000003074",1453
"ENSMODG00000003075",4535
"ENSMODG00000003076",1381
"ENSMODG00000003078",5075
"ENSMODG00000003080",6835.5
"ENSMODG00000003081",585
"ENSMODG00000003082",585
"ENSMODG00000003083",5516
"ENSMODG00000003084",6329
"ENSMODG00000003085",840
"ENSMODG00000003088",2736
"ENSMODG00000003089",958
"ENSMODG00000003090",3123
"ENSMODG00000003092",1479
"ENSMODG00000003093",5930
"ENSMODG00000003094",1035
"ENSMODG00000003095",696
"ENSMODG00000003096",2508
"ENSMODG00000003098",4959
"ENSMODG00000003099",7436
"ENSMODG00000003100",1590
"ENSMODG00000003102",1493
"ENSMODG00000003103",1609
"ENSMODG00000003104",5438
"ENSMODG00000003105",1334.5
"ENSMODG00000003106",3509
"ENSMODG00000003107",1520
"ENSMODG00000003108",14477
"ENSMODG00000003111",3460
"ENSMODG00000003112",4467
"ENSMODG00000003113",3812
"ENSMODG00000003114",1632
"ENSMODG00000003115",4219
"ENSMODG00000003116",1749
"ENSMODG00000003118",2925
"ENSMODG00000003119",639
"ENSMODG00000003120",2216
"ENSMODG00000003121",1111.5
"ENSMODG00000003122",1222
"ENSMODG00000003124",2510
"ENSMODG00000003126",9205.5
"ENSMODG00000003127",765
"ENSMODG00000003128",2068.5
"ENSMODG00000003130",912
"ENSMODG00000003131",2621
"ENSMODG00000003133",300
"ENSMODG00000003134",2031
"ENSMODG00000003135",4308
"ENSMODG00000003136",1603
"ENSMODG00000003137",858
"ENSMODG00000003138",2332
"ENSMODG00000003139",951
"ENSMODG00000003140",7343
"ENSMODG00000003141",11327
"ENSMODG00000003142",1722
"ENSMODG00000003143",1716
"ENSMODG00000003144",549
"ENSMODG00000003145",2283
"ENSMODG00000003146",645
"ENSMODG00000003147",4150
"ENSMODG00000003148",1602
"ENSMODG00000003149",1317
"ENSMODG00000003150",2407
"ENSMODG00000003151",1744
"ENSMODG00000003152",399
"ENSMODG00000003153",7610
"ENSMODG00000003156",4039
"ENSMODG00000003157",231
"ENSMODG00000003159",2241
"ENSMODG00000003160",2530
"ENSMODG00000003162",1356
"ENSMODG00000003163",945
"ENSMODG00000003164",4844
"ENSMODG00000003165",9913
"ENSMODG00000003166",2782
"ENSMODG00000003167",1800
"ENSMODG00000003168",896
"ENSMODG00000003171",924
"ENSMODG00000003175",4470
"ENSMODG00000003176",1164
"ENSMODG00000003178",4745
"ENSMODG00000003179",2756
"ENSMODG00000003181",1380
"ENSMODG00000003183",2061
"ENSMODG00000003185",480
"ENSMODG00000003186",4519
"ENSMODG00000003187",7214
"ENSMODG00000003188",4936
"ENSMODG00000003189",996
"ENSMODG00000003191",2963
"ENSMODG00000003192",2485
"ENSMODG00000003193",1180
"ENSMODG00000003195",5481
"ENSMODG00000003196",2067
"ENSMODG00000003198",939
"ENSMODG00000003199",1092
"ENSMODG00000003200",618
"ENSMODG00000003201",1648
"ENSMODG00000003202",6475
"ENSMODG00000003205",1010
"ENSMODG00000003207",1149
"ENSMODG00000003208",1801.5
"ENSMODG00000003209",2160
"ENSMODG00000003210",1525
"ENSMODG00000003211",2522
"ENSMODG00000003212",1324
"ENSMODG00000003213",4340
"ENSMODG00000003214",1494
"ENSMODG00000003215",2649
"ENSMODG00000003216",681
"ENSMODG00000003217",1059
"ENSMODG00000003218",3420
"ENSMODG00000003219",2010
"ENSMODG00000003220",1822.5
"ENSMODG00000003221",4996
"ENSMODG00000003223",810
"ENSMODG00000003224",375
"ENSMODG00000003225",2209
"ENSMODG00000003226",543
"ENSMODG00000003228",6256
"ENSMODG00000003229",1548
"ENSMODG00000003230",1317
"ENSMODG00000003233",6062
"ENSMODG00000003235",2778
"ENSMODG00000003236",1128
"ENSMODG00000003237",1415
"ENSMODG00000003239",1726
"ENSMODG00000003240",7121
"ENSMODG00000003241",5353
"ENSMODG00000003242",771
"ENSMODG00000003243",1407
"ENSMODG00000003244",631
"ENSMODG00000003245",1360
"ENSMODG00000003247",420
"ENSMODG00000003248",1407
"ENSMODG00000003249",1204
"ENSMODG00000003250",1978
"ENSMODG00000003251",4049
"ENSMODG00000003252",1513
"ENSMODG00000003253",1766
"ENSMODG00000003254",246
"ENSMODG00000003255",735
"ENSMODG00000003256",2496
"ENSMODG00000003258",2105
"ENSMODG00000003259",1512
"ENSMODG00000003260",1109
"ENSMODG00000003261",2370
"ENSMODG00000003262",1431
"ENSMODG00000003263",2286
"ENSMODG00000003264",5302
"ENSMODG00000003265",3593
"ENSMODG00000003266",3485
"ENSMODG00000003267",4010
"ENSMODG00000003268",943.5
"ENSMODG00000003269",4498
"ENSMODG00000003270",2016
"ENSMODG00000003273",6294
"ENSMODG00000003274",732
"ENSMODG00000003275",990
"ENSMODG00000003276",4895
"ENSMODG00000003277",1344
"ENSMODG00000003278",7705
"ENSMODG00000003279",2514
"ENSMODG00000003280",3611
"ENSMODG00000003282",3354
"ENSMODG00000003283",657
"ENSMODG00000003284",2328
"ENSMODG00000003285",6035
"ENSMODG00000003286",1648
"ENSMODG00000003287",357
"ENSMODG00000003288",1182
"ENSMODG00000003289",898.5
"ENSMODG00000003290",1410
"ENSMODG00000003291",7224
"ENSMODG00000003292",1443
"ENSMODG00000003294",2779
"ENSMODG00000003295",5885
"ENSMODG00000003296",1840
"ENSMODG00000003297",3862
"ENSMODG00000003299",489
"ENSMODG00000003300",1164
"ENSMODG00000003301",4391
"ENSMODG00000003302",6200
"ENSMODG00000003303",1352
"ENSMODG00000003305",1886
"ENSMODG00000003306",7251
"ENSMODG00000003307",1563
"ENSMODG00000003308",4297.5
"ENSMODG00000003309",4838.5
"ENSMODG00000003310",1656
"ENSMODG00000003313",936
"ENSMODG00000003315",1374
"ENSMODG00000003316",1593
"ENSMODG00000003317",699
"ENSMODG00000003318",966
"ENSMODG00000003320",4776
"ENSMODG00000003321",1035
"ENSMODG00000003323",2253
"ENSMODG00000003324",2499
"ENSMODG00000003325",2229
"ENSMODG00000003326",1422
"ENSMODG00000003327",1812
"ENSMODG00000003328",4883
"ENSMODG00000003329",4186
"ENSMODG00000003330",5952
"ENSMODG00000003331",1494
"ENSMODG00000003332",946.5
"ENSMODG00000003333",1332
"ENSMODG00000003334",4421
"ENSMODG00000003335",5544
"ENSMODG00000003337",3553
"ENSMODG00000003338",1446
"ENSMODG00000003339",2136
"ENSMODG00000003340",722
"ENSMODG00000003341",2919
"ENSMODG00000003342",966
"ENSMODG00000003344",2178
"ENSMODG00000003345",759
"ENSMODG00000003346",3221
"ENSMODG00000003347",4979
"ENSMODG00000003349",1377
"ENSMODG00000003350",918
"ENSMODG00000003351",1735
"ENSMODG00000003352",2257
"ENSMODG00000003354",1798
"ENSMODG00000003355",936
"ENSMODG00000003356",3696
"ENSMODG00000003357",2719
"ENSMODG00000003358",4036
"ENSMODG00000003359",2810
"ENSMODG00000003360",1014
"ENSMODG00000003362",972
"ENSMODG00000003363",1673
"ENSMODG00000003364",1387
"ENSMODG00000003365",3542
"ENSMODG00000003366",4678
"ENSMODG00000003367",975
"ENSMODG00000003368",1526
"ENSMODG00000003369",3396.5
"ENSMODG00000003370",866
"ENSMODG00000003372",3690
"ENSMODG00000003374",5307
"ENSMODG00000003375",513
"ENSMODG00000003377",5643
"ENSMODG00000003379",907
"ENSMODG00000003380",1395
"ENSMODG00000003381",3255
"ENSMODG00000003382",849
"ENSMODG00000003383",2424
"ENSMODG00000003384",5234
"ENSMODG00000003385",1602
"ENSMODG00000003386",1929
"ENSMODG00000003387",6024
"ENSMODG00000003389",5205
"ENSMODG00000003390",1128
"ENSMODG00000003391",2646
"ENSMODG00000003392",876
"ENSMODG00000003393",1972
"ENSMODG00000003396",2822
"ENSMODG00000003397",3248.5
"ENSMODG00000003400",693
"ENSMODG00000003401",2506
"ENSMODG00000003402",2043
"ENSMODG00000003403",4837
"ENSMODG00000003404",3651
"ENSMODG00000003405",287
"ENSMODG00000003406",498
"ENSMODG00000003407",2812
"ENSMODG00000003411",10780
"ENSMODG00000003412",5080
"ENSMODG00000003413",2861
"ENSMODG00000003414",943.5
"ENSMODG00000003415",4503
"ENSMODG00000003418",4674
"ENSMODG00000003419",816
"ENSMODG00000003421",1873
"ENSMODG00000003422",939
"ENSMODG00000003423",9522
"ENSMODG00000003425",525
"ENSMODG00000003429",4452
"ENSMODG00000003430",3293
"ENSMODG00000003432",1462
"ENSMODG00000003433",3820
"ENSMODG00000003435",160
"ENSMODG00000003436",1665
"ENSMODG00000003437",785
"ENSMODG00000003438",4709
"ENSMODG00000003439",3844
"ENSMODG00000003440",2235
"ENSMODG00000003441",2741
"ENSMODG00000003442",1002
"ENSMODG00000003443",5228
"ENSMODG00000003445",2535
"ENSMODG00000003446",5189
"ENSMODG00000003447",3348
"ENSMODG00000003449",2246
"ENSMODG00000003450",3152
"ENSMODG00000003451",738
"ENSMODG00000003452",2727
"ENSMODG00000003453",3105
"ENSMODG00000003454",1176
"ENSMODG00000003455",4534
"ENSMODG00000003456",2331
"ENSMODG00000003458",1609
"ENSMODG00000003459",1427
"ENSMODG00000003461",2017
"ENSMODG00000003463",4293
"ENSMODG00000003464",2646.5
"ENSMODG00000003465",2409
"ENSMODG00000003467",1356
"ENSMODG00000003468",3582
"ENSMODG00000003469",1782
"ENSMODG00000003470",5240
"ENSMODG00000003472",747
"ENSMODG00000003473",1827
"ENSMODG00000003474",708
"ENSMODG00000003475",3599
"ENSMODG00000003477",6524
"ENSMODG00000003479",1620
"ENSMODG00000003480",5051
"ENSMODG00000003481",5503
"ENSMODG00000003482",2598
"ENSMODG00000003483",1383
"ENSMODG00000003485",3993
"ENSMODG00000003486",4306
"ENSMODG00000003487",4145
"ENSMODG00000003488",621
"ENSMODG00000003489",564
"ENSMODG00000003490",3564
"ENSMODG00000003492",2662
"ENSMODG00000003493",1965
"ENSMODG00000003495",1104
"ENSMODG00000003496",1344
"ENSMODG00000003497",3763
"ENSMODG00000003499",441
"ENSMODG00000003500",2780
"ENSMODG00000003502",4555
"ENSMODG00000003503",849
"ENSMODG00000003504",1104
"ENSMODG00000003505",1923
"ENSMODG00000003506",5355
"ENSMODG00000003507",2372
"ENSMODG00000003508",2252
"ENSMODG00000003509",948
"ENSMODG00000003510",1266
"ENSMODG00000003513",1986
"ENSMODG00000003514",4789
"ENSMODG00000003515",2724
"ENSMODG00000003516",933
"ENSMODG00000003517",588
"ENSMODG00000003518",231
"ENSMODG00000003519",1238
"ENSMODG00000003520",1602
"ENSMODG00000003521",4631.5
"ENSMODG00000003524",4033
"ENSMODG00000003525",7551
"ENSMODG00000003526",6555
"ENSMODG00000003527",3364
"ENSMODG00000003528",1383
"ENSMODG00000003529",2297
"ENSMODG00000003530",4808
"ENSMODG00000003531",969
"ENSMODG00000003532",749
"ENSMODG00000003534",2418
"ENSMODG00000003535",978
"ENSMODG00000003536",2424
"ENSMODG00000003537",5172
"ENSMODG00000003538",936
"ENSMODG00000003539",915
"ENSMODG00000003542",6132
"ENSMODG00000003543",297
"ENSMODG00000003544",2659
"ENSMODG00000003545",1230
"ENSMODG00000003546",900
"ENSMODG00000003547",951
"ENSMODG00000003548",3905
"ENSMODG00000003549",2076
"ENSMODG00000003550",2064
"ENSMODG00000003551",6075
"ENSMODG00000003552",4290
"ENSMODG00000003553",4536
"ENSMODG00000003554",2532
"ENSMODG00000003555",867
"ENSMODG00000003557",1753
"ENSMODG00000003558",1448
"ENSMODG00000003559",2621
"ENSMODG00000003560",672
"ENSMODG00000003561",429
"ENSMODG00000003562",4547
"ENSMODG00000003563",2982
"ENSMODG00000003564",4182
"ENSMODG00000003565",1366
"ENSMODG00000003566",1393
"ENSMODG00000003567",756
"ENSMODG00000003568",2406
"ENSMODG00000003569",849
"ENSMODG00000003570",3177
"ENSMODG00000003571",471
