"dnov_ensembl_gid","dnov_feature_length"
"ENSDNOG00000018036",5407
"ENSDNOG00000018038",4316
"ENSDNOG00000018039",4711
"ENSDNOG00000018040",6983
"ENSDNOG00000018041",4539.5
"ENSDNOG00000018042",1146
"ENSDNOG00000018045",1438
"ENSDNOG00000018046",1953
"ENSDNOG00000018047",2235
"ENSDNOG00000018050",3032
"ENSDNOG00000018051",5805
"ENSDNOG00000018053",2002
"ENSDNOG00000018057",981
"ENSDNOG00000018062",1803
"ENSDNOG00000018064",901
"ENSDNOG00000018066",414
"ENSDNOG00000018069",1587
"ENSDNOG00000018070",1325
"ENSDNOG00000018072",2429
"ENSDNOG00000018079",1642
"ENSDNOG00000018080",186
"ENSDNOG00000018081",1488
"ENSDNOG00000018083",1677
"ENSDNOG00000018088",1724
"ENSDNOG00000018089",2047
"ENSDNOG00000018093",4521
"ENSDNOG00000018098",1692
"ENSDNOG00000018100",2752
"ENSDNOG00000018101",5396
"ENSDNOG00000018103",894
"ENSDNOG00000018104",819
"ENSDNOG00000018108",639
"ENSDNOG00000018114",4351
"ENSDNOG00000018116",4629
"ENSDNOG00000018118",1938
"ENSDNOG00000018119",1848
"ENSDNOG00000018120",6447
"ENSDNOG00000018121",984
"ENSDNOG00000018122",909
"ENSDNOG00000018123",1020
"ENSDNOG00000018124",1146
"ENSDNOG00000018125",4872
"ENSDNOG00000018127",1818
"ENSDNOG00000018136",708
"ENSDNOG00000018137",4126
"ENSDNOG00000018144",1250
"ENSDNOG00000018145",5859
"ENSDNOG00000018148",8743
"ENSDNOG00000018150",2100
"ENSDNOG00000018151",4054.5
"ENSDNOG00000018153",810
"ENSDNOG00000018156",2361
"ENSDNOG00000018159",1717
"ENSDNOG00000018160",4089.5
"ENSDNOG00000018162",1382
"ENSDNOG00000018166",780
"ENSDNOG00000018167",2625
"ENSDNOG00000018168",1626
"ENSDNOG00000018172",1203
"ENSDNOG00000018174",1107
"ENSDNOG00000018177",5711
"ENSDNOG00000018182",2306.5
"ENSDNOG00000018185",1041
"ENSDNOG00000018187",1263
"ENSDNOG00000018193",2729
"ENSDNOG00000018194",246
"ENSDNOG00000018199",3235
"ENSDNOG00000018201",567
"ENSDNOG00000018203",3145
"ENSDNOG00000018208",954
"ENSDNOG00000018213",2688
"ENSDNOG00000018217",1386
"ENSDNOG00000018221",900
"ENSDNOG00000018222",798
"ENSDNOG00000018223",981
"ENSDNOG00000018227",375
"ENSDNOG00000018231",6261
"ENSDNOG00000018232",435
"ENSDNOG00000018236",1075
"ENSDNOG00000018240",7610.5
"ENSDNOG00000018242",1482
"ENSDNOG00000018246",678
"ENSDNOG00000018248",843
"ENSDNOG00000018250",2832
"ENSDNOG00000018253",2187
"ENSDNOG00000018254",8962
"ENSDNOG00000018255",795
"ENSDNOG00000018257",4632
"ENSDNOG00000018260",1893
"ENSDNOG00000018261",1476
"ENSDNOG00000018262",2506.5
"ENSDNOG00000018263",6837
"ENSDNOG00000018265",6295
"ENSDNOG00000018268",2203
"ENSDNOG00000018269",2623
"ENSDNOG00000018270",165
"ENSDNOG00000018271",4492
"ENSDNOG00000018275",216
"ENSDNOG00000018277",2175
"ENSDNOG00000018278",683
"ENSDNOG00000018280",930
"ENSDNOG00000018286",261
"ENSDNOG00000018288",813
"ENSDNOG00000018290",4773
"ENSDNOG00000018292",1199
"ENSDNOG00000018298",2924
"ENSDNOG00000018302",3623
"ENSDNOG00000018306",4131
"ENSDNOG00000018309",1875
"ENSDNOG00000018310",2671
"ENSDNOG00000018314",1380
"ENSDNOG00000018324",6447.5
"ENSDNOG00000018327",5721
"ENSDNOG00000018328",2191
"ENSDNOG00000018334",1605
"ENSDNOG00000018340",5743
"ENSDNOG00000018341",642
"ENSDNOG00000018342",1151.5
"ENSDNOG00000018344",8514
"ENSDNOG00000018345",2564
"ENSDNOG00000018346",1230
"ENSDNOG00000018348",2888
"ENSDNOG00000018353",4965
"ENSDNOG00000018355",6255
"ENSDNOG00000018356",2980
"ENSDNOG00000018359",1461
"ENSDNOG00000018361",1686
"ENSDNOG00000018363",1438
"ENSDNOG00000018365",1053
"ENSDNOG00000018374",2927
"ENSDNOG00000018380",3024
"ENSDNOG00000018384",5803
"ENSDNOG00000018386",1302
"ENSDNOG00000018387",2605
"ENSDNOG00000018390",1682
"ENSDNOG00000018392",2559
"ENSDNOG00000018395",3397
"ENSDNOG00000018397",3857
"ENSDNOG00000018398",1905
"ENSDNOG00000018399",2128
"ENSDNOG00000018400",1145
"ENSDNOG00000018401",1257
"ENSDNOG00000018404",3510
"ENSDNOG00000018405",2957
"ENSDNOG00000018409",2940
"ENSDNOG00000018411",1218
"ENSDNOG00000018413",1847
"ENSDNOG00000018414",6685
"ENSDNOG00000018415",2440.5
"ENSDNOG00000018419",1528
"ENSDNOG00000018420",399
"ENSDNOG00000018422",606
"ENSDNOG00000018423",3317
"ENSDNOG00000018424",1137
"ENSDNOG00000018425",1039
"ENSDNOG00000018427",3015
"ENSDNOG00000018428",1797
"ENSDNOG00000018429",942
"ENSDNOG00000018430",2004
"ENSDNOG00000018431",6409
"ENSDNOG00000018434",3296
"ENSDNOG00000018435",5901
"ENSDNOG00000018438",9240
"ENSDNOG00000018439",3108
"ENSDNOG00000018440",214.5
"ENSDNOG00000018443",2603.5
"ENSDNOG00000018444",1906.5
"ENSDNOG00000018447",108
"ENSDNOG00000018450",309
"ENSDNOG00000018452",2049
"ENSDNOG00000018453",1113
"ENSDNOG00000018454",1680
"ENSDNOG00000018455",1864
"ENSDNOG00000018459",1671
"ENSDNOG00000018460",1270
"ENSDNOG00000018461",150
"ENSDNOG00000018462",2416
"ENSDNOG00000018463",1508
"ENSDNOG00000018464",315
"ENSDNOG00000018466",1761.5
"ENSDNOG00000018471",6564
"ENSDNOG00000018473",2535
"ENSDNOG00000018474",1413
"ENSDNOG00000018475",4734
"ENSDNOG00000018476",2771
"ENSDNOG00000018477",1891
"ENSDNOG00000018478",408
"ENSDNOG00000018479",704.5
"ENSDNOG00000018482",1970
"ENSDNOG00000018484",1620
"ENSDNOG00000018486",849
"ENSDNOG00000018488",784
"ENSDNOG00000018495",711
"ENSDNOG00000018496",6229
"ENSDNOG00000018498",2593
"ENSDNOG00000018506",2499
"ENSDNOG00000018507",492
"ENSDNOG00000018512",786
"ENSDNOG00000018516",2239
"ENSDNOG00000018517",4465.5
"ENSDNOG00000018518",6535
"ENSDNOG00000018519",1447
"ENSDNOG00000018520",312
"ENSDNOG00000018521",2172
"ENSDNOG00000018522",2241
"ENSDNOG00000018523",1119
"ENSDNOG00000018524",4582.5
"ENSDNOG00000018525",4000
"ENSDNOG00000018526",3227
"ENSDNOG00000018528",2825
"ENSDNOG00000018531",1429
"ENSDNOG00000018534",270
"ENSDNOG00000018535",1815
"ENSDNOG00000018536",2912
"ENSDNOG00000018539",1096
"ENSDNOG00000018543",576
"ENSDNOG00000018551",875
"ENSDNOG00000018556",2492
"ENSDNOG00000018558",3525
"ENSDNOG00000018559",1679
"ENSDNOG00000018560",6454
"ENSDNOG00000018563",2459
"ENSDNOG00000018570",1581
"ENSDNOG00000018572",1068
"ENSDNOG00000018574",3121
"ENSDNOG00000018575",954
"ENSDNOG00000018578",2345
"ENSDNOG00000018579",1230
"ENSDNOG00000018581",2134
"ENSDNOG00000018582",1455
"ENSDNOG00000018583",3500
"ENSDNOG00000018584",1419
"ENSDNOG00000018587",3002
"ENSDNOG00000018588",6286
"ENSDNOG00000018596",1903
"ENSDNOG00000018597",936
"ENSDNOG00000018600",2257
"ENSDNOG00000018606",1977
"ENSDNOG00000018612",408
"ENSDNOG00000018613",1674
"ENSDNOG00000018614",1234
"ENSDNOG00000018615",5781
"ENSDNOG00000018619",1360
"ENSDNOG00000018620",666
"ENSDNOG00000018622",2444
"ENSDNOG00000018625",4368
"ENSDNOG00000018626",3525
"ENSDNOG00000018628",20507
"ENSDNOG00000018630",2804
"ENSDNOG00000018632",539
"ENSDNOG00000018634",3647
"ENSDNOG00000018640",804
"ENSDNOG00000018641",2954
"ENSDNOG00000018645",1076
"ENSDNOG00000018646",1978
"ENSDNOG00000018648",486
"ENSDNOG00000018655",1579
"ENSDNOG00000018656",1263
"ENSDNOG00000018657",1665
"ENSDNOG00000018664",5524
"ENSDNOG00000018666",7623
"ENSDNOG00000018667",3752
"ENSDNOG00000018668",2349
"ENSDNOG00000018672",2128
"ENSDNOG00000018678",2377
"ENSDNOG00000018682",1058
"ENSDNOG00000018686",3704
"ENSDNOG00000018687",2541
"ENSDNOG00000018689",1287
"ENSDNOG00000018693",1029
"ENSDNOG00000018694",1477
"ENSDNOG00000018696",2644
"ENSDNOG00000018697",267
"ENSDNOG00000018698",984
"ENSDNOG00000018704",2175
"ENSDNOG00000018707",1877
"ENSDNOG00000018708",1631
"ENSDNOG00000018710",2872
"ENSDNOG00000018711",3731
"ENSDNOG00000018712",4051.5
"ENSDNOG00000018717",1151
"ENSDNOG00000018718",3820
"ENSDNOG00000018720",4091
"ENSDNOG00000018721",1528
"ENSDNOG00000018724",799
"ENSDNOG00000018725",943
"ENSDNOG00000018726",891
"ENSDNOG00000018727",1407
"ENSDNOG00000018729",4160
"ENSDNOG00000018735",669
"ENSDNOG00000018737",399
"ENSDNOG00000018740",1620
"ENSDNOG00000018741",9805
"ENSDNOG00000018742",3064.5
"ENSDNOG00000018745",1188
"ENSDNOG00000018747",2439
"ENSDNOG00000018748",2123
"ENSDNOG00000018751",1623
"ENSDNOG00000018754",3298
"ENSDNOG00000018755",1360
"ENSDNOG00000018757",1590
"ENSDNOG00000018758",1209
"ENSDNOG00000018760",4391.5
"ENSDNOG00000018761",597
"ENSDNOG00000018762",2757
"ENSDNOG00000018763",6393
"ENSDNOG00000018765",1640
"ENSDNOG00000018767",603
"ENSDNOG00000018769",1089
"ENSDNOG00000018772",936
"ENSDNOG00000018775",891
"ENSDNOG00000018776",1098
"ENSDNOG00000018777",2869
"ENSDNOG00000018781",174
"ENSDNOG00000018782",2640
"ENSDNOG00000018784",1206
"ENSDNOG00000018785",2365
"ENSDNOG00000018787",4212
"ENSDNOG00000018790",378
"ENSDNOG00000018796",2745
"ENSDNOG00000018797",1911
"ENSDNOG00000018798",4049
"ENSDNOG00000018799",1062
"ENSDNOG00000018801",1062
"ENSDNOG00000018807",1782
"ENSDNOG00000018811",1092
"ENSDNOG00000018812",825
"ENSDNOG00000018813",880
"ENSDNOG00000018815",1554
"ENSDNOG00000018818",4966
"ENSDNOG00000018819",706.5
"ENSDNOG00000018821",5294
"ENSDNOG00000018822",8184
"ENSDNOG00000018824",966
"ENSDNOG00000018825",916
"ENSDNOG00000018828",3495
"ENSDNOG00000018833",3840
"ENSDNOG00000018834",1733
"ENSDNOG00000018839",735
"ENSDNOG00000018841",3678
"ENSDNOG00000018846",4940
"ENSDNOG00000018848",1950.5
"ENSDNOG00000018852",1119
"ENSDNOG00000018853",429
"ENSDNOG00000018857",1092
"ENSDNOG00000018861",2864
"ENSDNOG00000018864",2201
"ENSDNOG00000018866",639
"ENSDNOG00000018867",507
"ENSDNOG00000018868",1712.5
"ENSDNOG00000018870",2548
"ENSDNOG00000018872",3155
"ENSDNOG00000018874",2561
"ENSDNOG00000018877",489
"ENSDNOG00000018878",948
"ENSDNOG00000018879",3354
"ENSDNOG00000018881",1059
"ENSDNOG00000018883",858
"ENSDNOG00000018886",5825
"ENSDNOG00000018889",2217
"ENSDNOG00000018890",791
"ENSDNOG00000018891",1545
"ENSDNOG00000018894",1068
"ENSDNOG00000018905",1488
"ENSDNOG00000018912",6439.5
"ENSDNOG00000018915",1278
"ENSDNOG00000018916",2049
"ENSDNOG00000018918",3589
"ENSDNOG00000018922",6582
"ENSDNOG00000018923",318
"ENSDNOG00000018924",915
"ENSDNOG00000018929",636
"ENSDNOG00000018930",1176
"ENSDNOG00000018932",3456
"ENSDNOG00000018933",2661
"ENSDNOG00000018935",2514
"ENSDNOG00000018937",495
"ENSDNOG00000018938",5127
"ENSDNOG00000018939",1083
"ENSDNOG00000018948",1555
"ENSDNOG00000018949",2916
"ENSDNOG00000018952",264
"ENSDNOG00000018955",1215
"ENSDNOG00000018958",13333
"ENSDNOG00000018959",1047
"ENSDNOG00000018968",804
"ENSDNOG00000018971",1629
"ENSDNOG00000018975",1083
"ENSDNOG00000018976",795
"ENSDNOG00000018980",750
"ENSDNOG00000018981",4743
"ENSDNOG00000018982",5313
"ENSDNOG00000018983",5771
"ENSDNOG00000018987",1446
"ENSDNOG00000018990",2290
"ENSDNOG00000018992",2148
"ENSDNOG00000018993",954
"ENSDNOG00000018998",2454
"ENSDNOG00000018999",5375
"ENSDNOG00000019000",6079
"ENSDNOG00000019004",1862
"ENSDNOG00000019007",2734
"ENSDNOG00000019009",12169
"ENSDNOG00000019011",1470.5
"ENSDNOG00000019013",5035
"ENSDNOG00000019014",3615
"ENSDNOG00000019018",1497
"ENSDNOG00000019019",1541
"ENSDNOG00000019020",1818
"ENSDNOG00000019022",1137
"ENSDNOG00000019024",926
"ENSDNOG00000019028",1023
"ENSDNOG00000019034",1719
"ENSDNOG00000019035",1208
"ENSDNOG00000019037",351
"ENSDNOG00000019040",1680
"ENSDNOG00000019041",390
"ENSDNOG00000019052",924
"ENSDNOG00000019053",2003
"ENSDNOG00000019055",797
"ENSDNOG00000019059",1514
"ENSDNOG00000019064",1614
"ENSDNOG00000019065",1900
"ENSDNOG00000019069",240
"ENSDNOG00000019071",6012.5
"ENSDNOG00000019072",546
"ENSDNOG00000019073",1152
"ENSDNOG00000019076",2413
"ENSDNOG00000019077",1860
"ENSDNOG00000019079",792
"ENSDNOG00000019080",4204
"ENSDNOG00000019083",4865
"ENSDNOG00000019085",894
"ENSDNOG00000019086",4462
"ENSDNOG00000019088",7733.5
"ENSDNOG00000019091",1338
"ENSDNOG00000019093",4162
"ENSDNOG00000019096",1653
"ENSDNOG00000019100",1041
"ENSDNOG00000019101",939
"ENSDNOG00000019112",822
"ENSDNOG00000019114",1188
"ENSDNOG00000019115",216
"ENSDNOG00000019122",2267
"ENSDNOG00000019123",651
"ENSDNOG00000019131",1140
"ENSDNOG00000019133",2823
"ENSDNOG00000019134",1020
"ENSDNOG00000019135",3131
"ENSDNOG00000019136",8162
"ENSDNOG00000019137",3380
"ENSDNOG00000019138",2432
"ENSDNOG00000019139",1111
"ENSDNOG00000019142",918
"ENSDNOG00000019146",2835
"ENSDNOG00000019147",2581
"ENSDNOG00000019148",2865
"ENSDNOG00000019149",978
"ENSDNOG00000019150",1452
"ENSDNOG00000019151",1584
"ENSDNOG00000019155",5328
"ENSDNOG00000019159",641
"ENSDNOG00000019160",1054.5
"ENSDNOG00000019161",6029
"ENSDNOG00000019162",4041
"ENSDNOG00000019163",3361
"ENSDNOG00000019164",876
"ENSDNOG00000019167",1552
"ENSDNOG00000019169",1404
"ENSDNOG00000019170",321
"ENSDNOG00000019174",2553
"ENSDNOG00000019175",1609
"ENSDNOG00000019177",2587.5
"ENSDNOG00000019178",492
"ENSDNOG00000019179",471
"ENSDNOG00000019180",624
"ENSDNOG00000019185",360
"ENSDNOG00000019186",813
"ENSDNOG00000019188",1122
"ENSDNOG00000019191",774
"ENSDNOG00000019194",2050
"ENSDNOG00000019196",1949.5
"ENSDNOG00000019208",4303
"ENSDNOG00000019210",2528
"ENSDNOG00000019211",2476
"ENSDNOG00000019212",1098
"ENSDNOG00000019213",1124
"ENSDNOG00000019214",2020
"ENSDNOG00000019217",1974
"ENSDNOG00000019218",9547
"ENSDNOG00000019220",4972
"ENSDNOG00000019221",1572
"ENSDNOG00000019223",198
"ENSDNOG00000019224",975
"ENSDNOG00000019225",5777
"ENSDNOG00000019227",4050
"ENSDNOG00000019229",1579
"ENSDNOG00000019230",1610
"ENSDNOG00000019232",1344
"ENSDNOG00000019236",7401
"ENSDNOG00000019237",501
"ENSDNOG00000019239",5910
"ENSDNOG00000019241",6027
"ENSDNOG00000019245",1215
"ENSDNOG00000019248",1725
"ENSDNOG00000019249",510
"ENSDNOG00000019250",1627
"ENSDNOG00000019251",1668
"ENSDNOG00000019253",903
"ENSDNOG00000019257",1793.5
"ENSDNOG00000019259",1568
"ENSDNOG00000019262",1570
"ENSDNOG00000019270",315
"ENSDNOG00000019271",1326
"ENSDNOG00000019272",2291
"ENSDNOG00000019276",1857
"ENSDNOG00000019277",546
"ENSDNOG00000019283",3207
"ENSDNOG00000019286",7034
"ENSDNOG00000019288",2069.5
"ENSDNOG00000019290",951
"ENSDNOG00000019294",4901.5
"ENSDNOG00000019297",1911.5
"ENSDNOG00000019298",3939
"ENSDNOG00000019300",5654
"ENSDNOG00000019301",1947
"ENSDNOG00000019303",1593
"ENSDNOG00000019307",759
"ENSDNOG00000019309",2245
"ENSDNOG00000019312",1566
"ENSDNOG00000019313",4440
"ENSDNOG00000019314",3408
"ENSDNOG00000019318",505
"ENSDNOG00000019320",2691
"ENSDNOG00000019321",3333
"ENSDNOG00000019328",945
"ENSDNOG00000019332",2439
"ENSDNOG00000019333",954
"ENSDNOG00000019334",3353
"ENSDNOG00000019335",1693
"ENSDNOG00000019337",1584
"ENSDNOG00000019339",1103
"ENSDNOG00000019344",4173
"ENSDNOG00000019345",2891
"ENSDNOG00000019346",2217
"ENSDNOG00000019347",2271
"ENSDNOG00000019348",2748
"ENSDNOG00000019349",801
"ENSDNOG00000019350",2524
"ENSDNOG00000019352",2183
"ENSDNOG00000019354",231
"ENSDNOG00000019356",1218.5
"ENSDNOG00000019357",2528
"ENSDNOG00000019359",936
"ENSDNOG00000019361",3800
"ENSDNOG00000019364",2964
"ENSDNOG00000019368",585
"ENSDNOG00000019369",943
"ENSDNOG00000019370",3532
"ENSDNOG00000019372",753
"ENSDNOG00000019374",3291
"ENSDNOG00000019376",2382
"ENSDNOG00000019377",11631
"ENSDNOG00000019378",1536
"ENSDNOG00000019383",6700
"ENSDNOG00000019384",692
"ENSDNOG00000019387",1869
"ENSDNOG00000019389",558
"ENSDNOG00000019391",3219
"ENSDNOG00000019392",5958
"ENSDNOG00000019405",4106.5
"ENSDNOG00000019407",879
"ENSDNOG00000019409",6396.5
"ENSDNOG00000019410",1059
"ENSDNOG00000019411",1074
"ENSDNOG00000019412",1452
"ENSDNOG00000019413",1577
"ENSDNOG00000019414",1083
"ENSDNOG00000019416",1860
"ENSDNOG00000019421",1743
"ENSDNOG00000019425",2471
"ENSDNOG00000019429",789
"ENSDNOG00000019431",7229
"ENSDNOG00000019433",387
"ENSDNOG00000019435",1194
"ENSDNOG00000019436",777
"ENSDNOG00000019437",4482
"ENSDNOG00000019439",1611
"ENSDNOG00000019440",630
"ENSDNOG00000019442",4389.5
"ENSDNOG00000019443",2818
"ENSDNOG00000019444",1629
"ENSDNOG00000019445",1636
"ENSDNOG00000019446",241.5
"ENSDNOG00000019449",1113
"ENSDNOG00000019453",2392
"ENSDNOG00000019454",1623
"ENSDNOG00000019455",1581
"ENSDNOG00000019464",2419
"ENSDNOG00000019467",1381
"ENSDNOG00000019468",2846
"ENSDNOG00000019472",7695
"ENSDNOG00000019473",3034.5
"ENSDNOG00000019476",5315
"ENSDNOG00000019478",666
"ENSDNOG00000019479",936
"ENSDNOG00000019480",793
"ENSDNOG00000019485",1621
"ENSDNOG00000019486",4872.5
"ENSDNOG00000019487",471
"ENSDNOG00000019489",2687
"ENSDNOG00000019490",744
"ENSDNOG00000019491",939
"ENSDNOG00000019492",2097
"ENSDNOG00000019494",1079
"ENSDNOG00000019498",2907
"ENSDNOG00000019500",1665
"ENSDNOG00000019502",1285
"ENSDNOG00000019503",893
"ENSDNOG00000019504",4124
"ENSDNOG00000019508",2715
"ENSDNOG00000019510",1377
"ENSDNOG00000019514",435
"ENSDNOG00000019521",1128
"ENSDNOG00000019522",4058
"ENSDNOG00000019523",486
"ENSDNOG00000019525",3786
"ENSDNOG00000019528",1026
"ENSDNOG00000019529",2517
"ENSDNOG00000019530",2728
"ENSDNOG00000019531",795
"ENSDNOG00000019532",1326
"ENSDNOG00000019534",831
"ENSDNOG00000019539",1935
"ENSDNOG00000019541",1635
"ENSDNOG00000019543",5969
"ENSDNOG00000019548",5171
"ENSDNOG00000019549",4870
"ENSDNOG00000019550",1608
"ENSDNOG00000019551",1470
"ENSDNOG00000019554",2143
"ENSDNOG00000019558",789
"ENSDNOG00000019559",2121
"ENSDNOG00000019561",2842
"ENSDNOG00000019565",882
"ENSDNOG00000019568",3256
"ENSDNOG00000019580",3619
"ENSDNOG00000019581",4766.5
"ENSDNOG00000019582",2373
"ENSDNOG00000019583",3157
"ENSDNOG00000019586",837
"ENSDNOG00000019588",4248
"ENSDNOG00000019593",11028
"ENSDNOG00000019598",940
"ENSDNOG00000019599",2714
"ENSDNOG00000019604",489
"ENSDNOG00000019606",1973
"ENSDNOG00000019610",1242
"ENSDNOG00000019616",465
"ENSDNOG00000019618",963
"ENSDNOG00000019622",1358
"ENSDNOG00000019625",444
"ENSDNOG00000019626",3721
"ENSDNOG00000019629",1212
"ENSDNOG00000019632",1194
"ENSDNOG00000019635",942
"ENSDNOG00000019638",5852
"ENSDNOG00000019640",2019
"ENSDNOG00000019644",1427.5
"ENSDNOG00000019645",778.5
"ENSDNOG00000019649",2749
"ENSDNOG00000019650",1392
"ENSDNOG00000019652",11023
"ENSDNOG00000019655",1421
"ENSDNOG00000019657",1653
"ENSDNOG00000019658",4349
"ENSDNOG00000019660",3384
"ENSDNOG00000019662",1892
"ENSDNOG00000019663",1870
"ENSDNOG00000019667",6858
"ENSDNOG00000019668",2645
"ENSDNOG00000019670",1455
"ENSDNOG00000019671",696
"ENSDNOG00000019673",7075
"ENSDNOG00000019674",537
"ENSDNOG00000019675",534
"ENSDNOG00000019676",5831
"ENSDNOG00000019680",6717
"ENSDNOG00000019681",585
"ENSDNOG00000019682",4380.5
"ENSDNOG00000019683",1407
"ENSDNOG00000019686",960
"ENSDNOG00000019688",636
"ENSDNOG00000019696",3095
"ENSDNOG00000019697",861
"ENSDNOG00000019698",1514
"ENSDNOG00000019699",4701
"ENSDNOG00000019700",1059
"ENSDNOG00000019701",1155
"ENSDNOG00000019703",8373
"ENSDNOG00000019704",1218
"ENSDNOG00000019709",1224
"ENSDNOG00000019710",3782
"ENSDNOG00000019712",1368
"ENSDNOG00000019713",6972
"ENSDNOG00000019714",4582
"ENSDNOG00000019715",2466
"ENSDNOG00000019721",4995.5
"ENSDNOG00000019722",1724
"ENSDNOG00000019723",411
"ENSDNOG00000019725",3123
"ENSDNOG00000019726",2346
"ENSDNOG00000019727",4895
"ENSDNOG00000019728",2015
"ENSDNOG00000019729",3408
"ENSDNOG00000019733",2171
"ENSDNOG00000019735",1155
"ENSDNOG00000019738",2271
"ENSDNOG00000019741",1337
"ENSDNOG00000019743",10866
"ENSDNOG00000019744",1542
"ENSDNOG00000019753",5883
"ENSDNOG00000019755",4116
"ENSDNOG00000019756",1292
"ENSDNOG00000019757",2829
"ENSDNOG00000019758",3891
"ENSDNOG00000019760",4366
"ENSDNOG00000019761",3614
"ENSDNOG00000019762",2856
"ENSDNOG00000019767",5092
"ENSDNOG00000019769",3096
"ENSDNOG00000019770",2007
"ENSDNOG00000019773",4642
"ENSDNOG00000019774",6141
"ENSDNOG00000019775",2160
"ENSDNOG00000019776",1643
"ENSDNOG00000019779",837
"ENSDNOG00000019783",1008
"ENSDNOG00000019786",420
"ENSDNOG00000019788",7033
"ENSDNOG00000019791",2322
"ENSDNOG00000019792",4534
"ENSDNOG00000019794",1434
"ENSDNOG00000019797",1218
"ENSDNOG00000019798",1089
"ENSDNOG00000019799",2410
"ENSDNOG00000019804",1186
"ENSDNOG00000019805",774
"ENSDNOG00000019807",984
"ENSDNOG00000019808",1618
"ENSDNOG00000019809",171
"ENSDNOG00000019812",5218
"ENSDNOG00000019813",1671
"ENSDNOG00000019815",2175
"ENSDNOG00000019816",9843
"ENSDNOG00000019818",1431
"ENSDNOG00000019820",1563
"ENSDNOG00000019822",879
"ENSDNOG00000019824",2757
"ENSDNOG00000019826",378
"ENSDNOG00000019830",603
"ENSDNOG00000019832",4399
"ENSDNOG00000019833",1320
"ENSDNOG00000019834",2127
"ENSDNOG00000019842",2409
"ENSDNOG00000019843",975
"ENSDNOG00000019844",3510
"ENSDNOG00000019846",1979
"ENSDNOG00000019848",5010
"ENSDNOG00000019849",1888
"ENSDNOG00000019850",2618.5
"ENSDNOG00000019851",660
"ENSDNOG00000019855",2778
"ENSDNOG00000019857",726
"ENSDNOG00000019863",1089
"ENSDNOG00000019868",2170
"ENSDNOG00000019870",2556
"ENSDNOG00000019871",2547
"ENSDNOG00000019872",8117
"ENSDNOG00000019880",2148.5
"ENSDNOG00000019883",2034
"ENSDNOG00000019886",1239
"ENSDNOG00000019893",846
"ENSDNOG00000019895",1446
"ENSDNOG00000019896",342
"ENSDNOG00000019900",1499
"ENSDNOG00000019902",2328
"ENSDNOG00000019903",1125
"ENSDNOG00000019904",1447
"ENSDNOG00000019906",456
"ENSDNOG00000019907",3018
"ENSDNOG00000019909",1740
"ENSDNOG00000019910",1429
"ENSDNOG00000019911",1327.5
"ENSDNOG00000019912",1698
"ENSDNOG00000019914",534
"ENSDNOG00000019915",2114
"ENSDNOG00000019918",3754.5
"ENSDNOG00000019921",5585
"ENSDNOG00000019923",1831
"ENSDNOG00000019924",2805
"ENSDNOG00000019932",270
"ENSDNOG00000019933",408
"ENSDNOG00000019934",2098
"ENSDNOG00000019937",3200
"ENSDNOG00000019938",1164
"ENSDNOG00000019940",1661
"ENSDNOG00000019941",2211
"ENSDNOG00000019942",3607.5
"ENSDNOG00000019945",6508
"ENSDNOG00000019949",4370
"ENSDNOG00000019953",927
"ENSDNOG00000019957",1151
"ENSDNOG00000019963",3774.5
"ENSDNOG00000019964",1973
"ENSDNOG00000019965",921
"ENSDNOG00000019966",3319
"ENSDNOG00000019967",531
"ENSDNOG00000019968",468
"ENSDNOG00000019969",4682
"ENSDNOG00000019970",2249
"ENSDNOG00000019974",3226
"ENSDNOG00000019975",5830
"ENSDNOG00000019977",2172
"ENSDNOG00000019979",1140
"ENSDNOG00000019980",1380
"ENSDNOG00000019983",1841
"ENSDNOG00000019984",1645
"ENSDNOG00000019993",391
"ENSDNOG00000019994",510
"ENSDNOG00000019995",1565
"ENSDNOG00000019996",2056
"ENSDNOG00000019997",1073
"ENSDNOG00000019999",609
"ENSDNOG00000020001",3224
"ENSDNOG00000020002",3353
"ENSDNOG00000020006",858
"ENSDNOG00000020009",2988
"ENSDNOG00000020011",1608
"ENSDNOG00000020014",1306
"ENSDNOG00000020015",2045
"ENSDNOG00000020016",4688
"ENSDNOG00000020022",3726
"ENSDNOG00000020026",3296
"ENSDNOG00000020029",801
"ENSDNOG00000020031",2211
"ENSDNOG00000020033",519
"ENSDNOG00000020035",1230
"ENSDNOG00000020037",4211.5
"ENSDNOG00000020041",1467
"ENSDNOG00000020042",1504
"ENSDNOG00000020044",615
"ENSDNOG00000020045",1316
"ENSDNOG00000023573",1267
"ENSDNOG00000023582",1030
"ENSDNOG00000023585",1183
"ENSDNOG00000023586",1029
"ENSDNOG00000023587",2493
"ENSDNOG00000023591",2080
"ENSDNOG00000023592",5581
"ENSDNOG00000023593",1770
"ENSDNOG00000023596",978
"ENSDNOG00000023598",1518
"ENSDNOG00000023601",933
"ENSDNOG00000023604",1110
"ENSDNOG00000023606",2935
"ENSDNOG00000023607",2202
"ENSDNOG00000023608",1753
"ENSDNOG00000023617",336
"ENSDNOG00000023620",1686
"ENSDNOG00000023623",1123.5
"ENSDNOG00000023624",198
"ENSDNOG00000023628",345
"ENSDNOG00000023639",288
"ENSDNOG00000023640",6365
"ENSDNOG00000023644",981
"ENSDNOG00000023653",1146
"ENSDNOG00000023654",2361
"ENSDNOG00000023658",552
